onset	duration	trial_type	response	response_time	stim_id	stim_events	stim_slides	trial_id	run_id	stim_type	response_type
2.00961	n/a	n/a	n/a	n/a	81000	10	0	297	3	8	n/a
12.0084	3.5	controlItem	n/a	n/a	11039	10	39	298	3	1	n/a
15.4912	3.0	controlItem	n/a	n/a	51039	10	39	299	3	0	n/a
18.4897	3.0	controlItem	True	0.328	51039	10	39	300	3	5	controlTrue
22.0075	3.5	criticalItem	n/a	n/a	11045	10	45	301	3	1	n/a
25.4896	3.0	criticalItem	n/a	n/a	21045	10	45	302	3	0	n/a
28.4907	3.0	criticalItem	False	0.335	21045	10	45	303	3	2	criticalFalse
32.0067	3.5	criticalItem	n/a	n/a	11018	10	18	304	3	1	n/a
35.4903	3.0	criticalItem	n/a	n/a	31018	10	18	305	3	0	n/a
38.4884	3.0	criticalItem	False	0.499	31018	10	18	306	3	3	criticalFalse
42.0054	3.5	controlItem	n/a	n/a	11028	10	28	307	3	1	n/a
45.4882	3.0	controlItem	n/a	n/a	31028	10	28	308	3	0	n/a
48.4866	3.0	controlItem	True	0.357	31028	10	28	309	3	3	controlTrue
52.0042	3.5	criticalItem	n/a	n/a	11010	10	10	310	3	1	n/a
55.4867	3.0	criticalItem	n/a	n/a	61010	10	10	311	3	0	n/a
58.4872	3.0	criticalItem	False	0.353	61010	10	10	312	3	6	criticalFalse
62.0038	3.5	controlItem	n/a	n/a	11031	10	31	313	3	1	n/a
65.4866	3.0	controlItem	n/a	n/a	71031	10	31	314	3	0	n/a
68.4871	3.0	controlItem	Foil2	0.333	71031	10	31	315	3	7	controlFoil2
72.0018	3.5	criticalItem	n/a	n/a	11005	10	5	316	3	1	n/a
75.4845	3.0	criticalItem	n/a	n/a	71005	10	5	317	3	0	n/a
78.4849	3.0	criticalItem	True	0.289	71005	10	5	318	3	7	criticalTrue
82.0015	3.5	criticalItem	n/a	n/a	11003	10	3	319	3	1	n/a
85.484	3.0	criticalItem	n/a	n/a	41003	10	3	320	3	0	n/a
88.4839	3.0	criticalItem	True	0.45	41003	10	3	321	3	4	criticalTrue
91.9997	3.5	criticalItem	n/a	n/a	11008	10	8	322	3	1	n/a
95.4835	3.0	criticalItem	n/a	n/a	21008	10	8	323	3	0	n/a
98.483	3.0	criticalItem	True	0.335	21008	10	8	324	3	2	criticalTrue
