onset	duration	trial_type	response	response_time	stim_id	stim_events	stim_slides	trial_id	run_id	stim_type	response_type
2.00889	n/a	n/a	n/a	n/a	80900	9	0	297	3	8	n/a
12.0078	3.5	criticalItem	n/a	n/a	10949	9	49	298	3	1	n/a
15.4904	3.0	criticalItem	n/a	n/a	60949	9	49	299	3	0	n/a
18.4901	3.0	criticalItem	True	0.493	60949	9	49	300	3	6	criticalTrue
22.006	3.5	criticalItem	n/a	n/a	10922	9	22	301	3	1	n/a
25.4893	3.0	criticalItem	n/a	n/a	50922	9	22	302	3	0	n/a
28.4893	3.0	criticalItem	False	0.549	50922	9	22	303	3	5	criticalFalse
32.0062	3.5	controlItem	n/a	n/a	10945	9	45	304	3	1	n/a
35.4892	3.0	controlItem	n/a	n/a	50945	9	45	305	3	0	n/a
38.4876	3.0	controlItem	True	1.103	50945	9	45	306	3	5	controlTrue
42.0045	3.5	criticalItem	n/a	n/a	10904	9	4	307	3	1	n/a
45.4873	3.0	criticalItem	n/a	n/a	40904	9	4	308	3	0	n/a
48.4874	3.0	criticalItem	True	0.433	40904	9	4	309	3	4	criticalTrue
52.0035	3.5	criticalItem	n/a	n/a	10910	9	10	310	3	1	n/a
55.4864	3.0	criticalItem	n/a	n/a	50910	9	10	311	3	0	n/a
58.4876	3.0	criticalItem	Foil	1.016	50910	9	10	312	3	5	criticalFoil
62.0027	3.5	criticalItem	n/a	n/a	10924	9	24	313	3	1	n/a
65.4855	3.0	criticalItem	n/a	n/a	70924	9	24	314	3	0	n/a
68.485	3.0	criticalItem	False	0.426	70924	9	24	315	3	7	criticalFalse
72.0019	3.5	criticalItem	n/a	n/a	10926	9	26	316	3	1	n/a
75.4852	3.0	criticalItem	n/a	n/a	30926	9	26	317	3	0	n/a
78.4838	3.0	criticalItem	False	0.702	30926	9	26	318	3	3	criticalFalse
82.0017	3.5	controlItem	n/a	n/a	10950	9	50	319	3	1	n/a
85.4828	3.0	controlItem	n/a	n/a	50950	9	50	320	3	0	n/a
88.4833	3.0	controlItem	Foil1	0.739	50950	9	50	321	3	5	controlFoil1
91.9992	3.5	controlItem	n/a	n/a	10923	9	23	322	3	1	n/a
95.482	3.0	controlItem	n/a	n/a	60923	9	23	323	3	0	n/a
98.482	3.0	controlItem	True	0.516	60923	9	23	324	3	6	controlTrue
102.014	3.5	controlItem	n/a	n/a	10917	9	17	325	3	1	n/a
105.498	3.0	controlItem	n/a	n/a	20917	9	17	326	3	0	n/a
108.497	3.0	controlItem	True	0.448	20917	9	17	327	3	2	controlTrue
112.013	3.5	criticalItem	n/a	n/a	10941	9	41	328	3	1	n/a
115.498	3.0	criticalItem	n/a	n/a	30941	9	41	329	3	0	n/a
118.497	3.0	criticalItem	True	0.551	30941	9	41	330	3	3	criticalTrue
122.013	3.5	controlItem	n/a	n/a	10943	9	43	331	3	1	n/a
125.496	3.0	controlItem	n/a	n/a	70943	9	43	332	3	0	n/a
128.495	3.0	controlItem	True	0.45	70943	9	43	333	3	7	controlTrue
132.012	3.5	controlItem	n/a	n/a	10915	9	15	334	3	1	n/a
135.495	3.0	controlItem	n/a	n/a	60915	9	15	335	3	0	n/a
138.494	3.0	controlItem	True	0.647	60915	9	15	336	3	6	controlTrue
142.01	3.5	controlItem	n/a	n/a	10909	9	9	337	3	1	n/a
145.494	3.0	controlItem	n/a	n/a	20909	9	9	338	3	0	n/a
