onset	duration	trial_type	response	response_time	stim_id	stim_version	stim_events	stim_slides	trial_id	run_id	stim_redcross	subsequent_response_type
2.0271	n/a	n/a	n/a	n/a	80300	8	3	0	1	1	n/a	n/a
6.0207	3.5	genericItem	n/a	n/a	10301	1	3	1	2	1	n/a	n/a
10.0226	3.5	genericItem	n/a	n/a	10302	1	3	2	3	1	n/a	n/a
14.0216	3.5	controlItem	n/a	n/a	10303	1	3	3	4	1	n/a	controlFoil2
18.0202	3.5	genericItem	n/a	n/a	10304	1	3	4	5	1	n/a	n/a
22.023	3.5	criticalItem	n/a	n/a	20305	2	3	5	6	1	n/a	criticalTrue
26.0204	3.5	genericItem	n/a	n/a	10306	1	3	6	7	1	n/a	n/a
30.0197	3.5	genericItem	1	0.652	10307	1	3	7	8	1	1	n/a
34.0198	3.5	genericItem	n/a	n/a	10308	1	3	8	9	1	n/a	n/a
38.0201	3.5	controlItem	n/a	n/a	10309	1	3	9	10	1	n/a	controlFoil1
42.0207	3.5	genericItem	n/a	n/a	10310	1	3	10	11	1	n/a	n/a
46.0196	3.5	genericItem	n/a	n/a	10311	1	3	11	12	1	n/a	n/a
50.0197	3.5	genericItem	1	0.536	10312	1	3	12	13	1	1	n/a
54.0196	3.5	controlItem	n/a	n/a	10313	1	3	13	14	1	n/a	controlFoil2
58.0196	3.5	genericItem	n/a	n/a	10314	1	3	14	15	1	n/a	n/a
62.0204	3.5	genericItem	n/a	n/a	10315	1	3	15	16	1	n/a	n/a
66.0192	3.5	criticalItem	n/a	n/a	20316	2	3	16	17	1	n/a	criticalTrue
70.0207	3.5	controlItem	n/a	n/a	10317	1	3	17	18	1	n/a	controlFoil2
74.0202	3.5	genericItem	n/a	n/a	10318	1	3	18	19	1	n/a	n/a
78.0203	3.5	criticalItem	n/a	n/a	20319	2	3	19	20	1	n/a	criticalFalse
82.0207	3.5	controlItem	n/a	n/a	10320	1	3	20	21	1	n/a	controlFoil1
86.0195	3.5	genericItem	1	0.585	10321	1	3	21	22	1	1	n/a
90.0197	3.5	criticalItem	n/a	n/a	20322	2	3	22	23	1	n/a	criticalTrue
94.0197	3.5	genericItem	n/a	n/a	10323	1	3	23	24	1	n/a	n/a
98.019	3.5	criticalItem	n/a	n/a	20324	2	3	24	25	1	n/a	criticalFalse
102.02	3.5	controlItem	n/a	n/a	10325	1	3	25	26	1	n/a	controlFoil2
106.02	3.5	genericItem	n/a	n/a	10326	1	3	26	27	1	n/a	n/a
110.02	3.5	criticalItem	n/a	n/a	20327	2	3	27	28	1	n/a	criticalFalse
114.02	3.5	genericItem	n/a	n/a	10328	1	3	28	29	1	n/a	n/a
118.02	3.5	controlItem	n/a	n/a	10329	1	3	29	30	1	n/a	controlTrue
122.02	3.5	criticalItem	n/a	n/a	20330	2	3	30	31	1	n/a	criticalFalse
126.02	3.5	controlItem	n/a	n/a	10331	1	3	31	32	1	n/a	controlTrue
130.02	3.5	criticalItem	n/a	n/a	20332	2	3	32	33	1	n/a	criticalTrue
134.02	3.5	genericItem	n/a	n/a	10333	1	3	33	34	1	n/a	n/a
138.02	3.5	genericItem	n/a	n/a	10334	1	3	34	35	1	n/a	n/a
142.02	3.5	genericItem	n/a	n/a	10335	1	3	35	36	1	n/a	n/a
146.02	3.5	criticalItem	n/a	n/a	20336	2	3	36	37	1	n/a	criticalFoil
150.021	3.5	genericItem	n/a	n/a	10337	1	3	37	38	1	n/a	n/a
154.02	3.5	genericItem	n/a	n/a	10338	1	3	38	39	1	n/a	n/a
158.021	3.5	genericItem	n/a	n/a	10339	1	3	39	40	1	n/a	n/a
162.02	3.5	genericItem	n/a	n/a	10340	1	3	40	41	1	n/a	n/a
166.019	3.5	criticalItem	n/a	n/a	20341	2	3	41	42	1	n/a	criticalFoil
170.019	3.5	controlItem	n/a	n/a	10342	1	3	42	43	1	n/a	controlTrue
174.02	3.5	genericItem	n/a	n/a	10343	1	3	43	44	1	n/a	n/a
178.019	3.5	criticalItem	n/a	n/a	20344	2	3	44	45	1	n/a	criticalTrue
182.02	3.5	controlItem	n/a	n/a	10345	1	3	45	46	1	n/a	controlFoil1
186.02	3.5	genericItem	n/a	n/a	10346	1	3	46	47	1	n/a	n/a
190.02	3.5	criticalItem	n/a	n/a	20347	2	3	47	48	1	n/a	criticalFalse
194.019	3.5	controlItem	n/a	n/a	10348	1	3	48	49	1	n/a	controlTrue
198.019	3.5	genericItem	n/a	n/a	10349	1	3	49	50	1	n/a	n/a
202.02	3.5	controlItem	n/a	n/a	10350	1	3	50	51	1	n/a	controlTrue
206.02	n/a	n/a	n/a	n/a	90300	9	3	0	52	1	n/a	n/a
210.019	n/a	n/a	n/a	n/a	81000	8	10	0	53	1	n/a	n/a
214.02	3.5	genericItem	n/a	n/a	11001	1	10	1	54	1	n/a	n/a
218.019	3.5	genericItem	n/a	n/a	11002	1	10	2	55	1	n/a	n/a
222.021	3.5	criticalItem	n/a	n/a	21003	2	10	3	56	1	n/a	criticalFalse
226.019	3.5	genericItem	n/a	n/a	11004	1	10	4	57	1	n/a	n/a
230.02	3.5	criticalItem	n/a	n/a	21005	2	10	5	58	1	n/a	criticalFalse
234.02	3.5	genericItem	n/a	n/a	11006	1	10	6	59	1	n/a	n/a
238.021	3.5	genericItem	n/a	n/a	11007	1	10	7	60	1	n/a	n/a
242.02	3.5	criticalItem	n/a	n/a	21008	2	10	8	61	1	n/a	criticalTrue
246.02	3.5	genericItem	n/a	n/a	11009	1	10	9	62	1	n/a	n/a
250.02	3.5	criticalItem	n/a	n/a	21010	2	10	10	63	1	n/a	criticalFalse
254.02	3.5	genericItem	1	0.703	11011	1	10	11	64	1	1	n/a
258.019	3.5	genericItem	n/a	n/a	11012	1	10	12	65	1	n/a	n/a
262.019	3.5	genericItem	n/a	n/a	11013	1	10	13	66	1	n/a	n/a
266.02	3.5	genericItem	n/a	n/a	11014	1	10	14	67	1	n/a	n/a
270.02	3.5	criticalItem	n/a	n/a	21015	2	10	15	68	1	n/a	criticalFalse
274.02	3.5	genericItem	n/a	n/a	11016	1	10	16	69	1	n/a	n/a
278.02	3.5	controlItem	n/a	n/a	11017	1	10	17	70	1	n/a	controlFoil1
282.021	3.5	criticalItem	n/a	n/a	21018	2	10	18	71	1	n/a	criticalTrue
286.02	3.5	controlItem	n/a	n/a	11019	1	10	19	72	1	n/a	controlFoil2
290.02	3.5	criticalItem	n/a	n/a	21020	2	10	20	73	1	n/a	criticalTrue
294.02	3.5	controlItem	n/a	n/a	11021	1	10	21	74	1	n/a	controlFoil1
298.021	3.5	genericItem	1	0.552	11022	1	10	22	75	1	1	n/a
302.02	3.5	criticalItem	n/a	n/a	21023	2	10	23	76	1	n/a	criticalFoil
306.02	3.5	genericItem	n/a	n/a	11024	1	10	24	77	1	n/a	n/a
310.019	3.5	genericItem	n/a	n/a	11025	1	10	25	78	1	n/a	n/a
314.02	3.5	criticalItem	n/a	n/a	21026	2	10	26	79	1	n/a	criticalFalse
318.02	3.5	genericItem	n/a	n/a	11027	1	10	27	80	1	n/a	n/a
322.02	3.5	controlItem	n/a	n/a	11028	1	10	28	81	1	n/a	controlFoil2
326.02	3.5	controlItem	n/a	n/a	11029	1	10	29	82	1	n/a	controlTrue
330.02	3.5	genericItem	n/a	n/a	11030	1	10	30	83	1	n/a	n/a
334.019	3.5	controlItem	n/a	n/a	11031	1	10	31	84	1	n/a	controlFoil2
338.02	3.5	genericItem	n/a	n/a	11032	1	10	32	85	1	n/a	n/a
342.02	3.5	criticalItem	n/a	n/a	21033	2	10	33	86	1	n/a	criticalTrue
346.02	3.5	genericItem	1	0.69	11034	1	10	34	87	1	1	n/a
350.021	3.5	criticalItem	n/a	n/a	21035	2	10	35	88	1	n/a	criticalTrue
354.019	3.5	genericItem	n/a	n/a	11036	1	10	36	89	1	n/a	n/a
358.019	3.5	controlItem	n/a	n/a	11037	1	10	37	90	1	n/a	controlFoil2
362.019	3.5	controlItem	n/a	n/a	11038	1	10	38	91	1	n/a	controlTrue
366.021	3.5	controlItem	n/a	n/a	11039	1	10	39	92	1	n/a	controlTrue
370.021	3.5	controlItem	n/a	n/a	11040	1	10	40	93	1	n/a	controlFoil1
374.021	3.5	genericItem	n/a	n/a	11041	1	10	41	94	1	n/a	n/a
378.022	3.5	genericItem	n/a	n/a	11042	1	10	42	95	1	n/a	n/a
382.021	3.5	genericItem	n/a	n/a	11043	1	10	43	96	1	n/a	n/a
386.02	3.5	genericItem	1	0.561	11044	1	10	44	97	1	1	n/a
390.02	3.5	criticalItem	n/a	n/a	21045	2	10	45	98	1	n/a	criticalFalse
394.021	3.5	controlItem	n/a	n/a	11046	1	10	46	99	1	n/a	controlFoil2
398.019	3.5	genericItem	n/a	n/a	11047	1	10	47	100	1	n/a	n/a
402.02	3.5	genericItem	n/a	n/a	11048	1	10	48	101	1	n/a	n/a
406.02	3.5	controlItem	n/a	n/a	11049	1	10	49	102	1	n/a	controlFoil1
410.021	3.5	genericItem	n/a	n/a	11050	1	10	50	103	1	n/a	n/a
414.019	n/a	n/a	n/a	n/a	91000	9	10	0	104	1	n/a	n/a
418.019	n/a	n/a	n/a	n/a	90000	5	0	0	105	1	n/a	n/a
