onset	duration	trial_type	response	response_time	stim_id	stim_version	stim_events	stim_slides	trial_id	run_id	stim_redcross	subsequent_response_type
2.1064	n/a	n/a	n/a	n/a	80300	8	3	0	211	3	n/a	n/a
6.0967	3.5	genericItem	n/a	n/a	10301	1	3	1	212	3	n/a	n/a
10.0807	3.5	genericItem	n/a	n/a	10302	1	3	2	213	3	n/a	n/a
14.0278	3.5	controlItem	n/a	n/a	10303	1	3	3	214	3	n/a	controlTrue
18.1244	3.5	genericItem	n/a	n/a	10304	1	3	4	215	3	n/a	n/a
22.0407	3.5	criticalItem	n/a	n/a	10305	1	3	5	216	3	n/a	criticalFalse
26.1367	3.5	genericItem	n/a	n/a	10306	1	3	6	217	3	n/a	n/a
30.065	3.5	genericItem	n/a	n/a	10307	1	3	7	218	3	n/a	n/a
34.0877	3.5	genericItem	n/a	n/a	10308	1	3	8	219	3	1	n/a
38.1436	3.5	controlItem	n/a	n/a	10309	1	3	9	220	3	n/a	controlTrue
42.0878	3.5	genericItem	n/a	n/a	10310	1	3	10	221	3	n/a	n/a
46.0859	3.5	genericItem	n/a	n/a	10311	1	3	11	222	3	n/a	n/a
50.0841	3.5	genericItem	n/a	n/a	10312	1	3	12	223	3	n/a	n/a
54.0451	3.5	controlItem	n/a	n/a	10313	1	3	13	224	3	n/a	controlFoil1
58.0596	3.5	genericItem	n/a	n/a	10314	1	3	14	225	3	n/a	n/a
62.1229	3.5	genericItem	n/a	n/a	10315	1	3	15	226	3	n/a	n/a
66.1235	3.5	criticalItem	n/a	n/a	10316	1	3	16	227	3	n/a	criticalFalse
70.1282	3.5	controlItem	n/a	n/a	10317	1	3	17	228	3	n/a	controlFoil1
74.1226	3.5	genericItem	n/a	n/a	10318	1	3	18	229	3	1	n/a
78.1093	3.5	criticalItem	n/a	n/a	10319	1	3	19	230	3	n/a	criticalFoil
82.1156	3.5	controlItem	n/a	n/a	10320	1	3	20	231	3	n/a	controlTrue
86.0766	3.5	genericItem	n/a	n/a	10321	1	3	21	232	3	n/a	n/a
90.067	3.5	criticalItem	n/a	n/a	10322	1	3	22	233	3	n/a	criticalFalse
94.0856	3.5	genericItem	n/a	n/a	10323	1	3	23	234	3	n/a	n/a
98.04	3.5	criticalItem	n/a	n/a	10324	1	3	24	235	3	n/a	criticalTrue
102.119	3.5	controlItem	n/a	n/a	10325	1	3	25	236	3	n/a	controlTrue
106.095	3.5	genericItem	n/a	n/a	10326	1	3	26	237	3	n/a	n/a
110.042	3.5	criticalItem	n/a	n/a	10327	1	3	27	238	3	n/a	criticalTrue
114.115	3.5	genericItem	n/a	n/a	10328	1	3	28	239	3	n/a	n/a
118.087	3.5	controlItem	n/a	n/a	10329	1	3	29	240	3	n/a	controlTrue
122.105	3.5	criticalItem	n/a	n/a	10330	1	3	30	241	3	n/a	criticalFalse
126.067	3.5	controlItem	n/a	n/a	10331	1	3	31	242	3	n/a	controlTrue
