onset	duration	trial_type	response	response_time	stim_id	stim_version	stim_events	stim_slides	trial_id	run_id	stim_redcross	subsequent_response_type
2.027	n/a	n/a	n/a	n/a	80700	8	7	0	1	1	n/a	n/a
6.0264	3.5	genericItem	n/a	n/a	10701	1	7	1	2	1	n/a	n/a
10.0236	3.5	genericItem	n/a	n/a	10702	1	7	2	3	1	n/a	n/a
14.024	3.5	controlItem	n/a	n/a	10703	1	7	3	4	1	n/a	controlTrue
18.0235	3.5	criticalItem	n/a	n/a	10704	1	7	4	5	1	n/a	criticalFalse
22.0233	3.5	controlItem	n/a	n/a	10705	1	7	5	6	1	n/a	controlTrue
26.0231	3.5	genericItem	n/a	n/a	10706	1	7	6	7	1	n/a	n/a
30.0247	3.5	controlItem	n/a	n/a	10707	1	7	7	8	1	n/a	controlFoil2
34.0236	3.5	controlItem	n/a	n/a	10708	1	7	8	9	1	n/a	controlTrue
38.0233	3.5	criticalItem	n/a	n/a	10709	1	7	9	10	1	n/a	criticalFoil
42.0242	3.5	genericItem	n/a	n/a	10710	1	7	10	11	1	n/a	n/a
46.0235	3.5	controlItem	n/a	n/a	10711	1	7	11	12	1	n/a	controlFoil1
50.0237	3.5	criticalItem	n/a	n/a	10712	1	7	12	13	1	n/a	criticalFalse
54.0243	3.5	genericItem	n/a	n/a	10713	1	7	13	14	1	n/a	n/a
58.0236	3.5	controlItem	n/a	n/a	10714	1	7	14	15	1	n/a	controlTrue
62.024	3.5	genericItem	n/a	n/a	10715	1	7	15	16	1	n/a	n/a
66.0242	3.5	genericItem	n/a	n/a	10716	1	7	16	17	1	n/a	n/a
70.023	3.5	genericItem	n/a	n/a	10717	1	7	17	18	1	n/a	n/a
74.0245	3.5	controlItem	n/a	n/a	10718	1	7	18	19	1	n/a	controlFoil2
78.0231	3.5	criticalItem	n/a	n/a	10719	1	7	19	20	1	n/a	criticalTrue
82.0245	3.5	controlItem	n/a	n/a	10720	1	7	20	21	1	n/a	controlTrue
86.0236	3.5	criticalItem	n/a	n/a	10721	1	7	21	22	1	n/a	criticalTrue
90.0245	3.5	genericItem	n/a	n/a	10722	1	7	22	23	1	n/a	n/a
94.0251	3.5	genericItem	n/a	n/a	10723	1	7	23	24	1	n/a	n/a
98.0244	3.5	genericItem	1	1.27	10724	1	7	24	25	1	1	n/a
102.024	3.5	genericItem	n/a	n/a	10725	1	7	25	26	1	n/a	n/a
106.023	3.5	criticalItem	n/a	n/a	10726	1	7	26	27	1	n/a	criticalFalse
110.023	3.5	genericItem	n/a	n/a	10727	1	7	27	28	1	n/a	n/a
114.024	3.5	controlItem	n/a	n/a	10728	1	7	28	29	1	n/a	controlTrue
118.023	3.5	criticalItem	n/a	n/a	10729	1	7	29	30	1	n/a	criticalTrue
122.024	3.5	genericItem	n/a	n/a	10730	1	7	30	31	1	n/a	n/a
126.024	3.5	genericItem	n/a	n/a	10731	1	7	31	32	1	n/a	n/a
130.024	3.5	genericItem	n/a	n/a	10732	1	7	32	33	1	n/a	n/a
134.024	3.5	genericItem	n/a	n/a	10733	1	7	33	34	1	n/a	n/a
138.023	3.5	controlItem	n/a	n/a	10734	1	7	34	35	1	n/a	n/a
142.023	3.5	criticalItem	n/a	n/a	10735	1	7	35	36	1	n/a	criticalTrue
146.025	3.5	genericItem	n/a	n/a	10736	1	7	36	37	1	n/a	n/a
150.024	3.5	genericItem	n/a	n/a	10737	1	7	37	38	1	n/a	n/a
154.023	3.5	genericItem	n/a	n/a	10738	1	7	38	39	1	n/a	n/a
158.024	3.5	criticalItem	n/a	n/a	10739	1	7	39	40	1	n/a	criticalFalse
162.024	3.5	controlItem	n/a	n/a	10740	1	7	40	41	1	n/a	controlTrue
166.025	3.5	genericItem	1	0.524	10741	1	7	41	42	1	1	n/a
170.024	3.5	genericItem	n/a	n/a	10742	1	7	42	43	1	n/a	n/a
174.023	3.5	genericItem	n/a	n/a	10743	1	7	43	44	1	n/a	n/a
178.023	3.5	criticalItem	n/a	n/a	10744	1	7	44	45	1	n/a	criticalTrue
182.024	3.5	genericItem	n/a	n/a	10745	1	7	45	46	1	n/a	n/a
186.023	3.5	criticalItem	n/a	n/a	10746	1	7	46	47	1	n/a	criticalTrue
190.025	3.5	genericItem	n/a	n/a	10747	1	7	47	48	1	n/a	n/a
194.024	3.5	genericItem	n/a	n/a	10748	1	7	48	49	1	n/a	n/a
198.023	3.5	criticalItem	n/a	n/a	10749	1	7	49	50	1	n/a	criticalFalse
202.026	3.5	controlItem	n/a	n/a	10750	1	7	50	51	1	n/a	controlTrue
206.021	n/a	n/a	n/a	n/a	90700	9	7	0	52	1	n/a	n/a
210.02	n/a	n/a	n/a	n/a	80900	8	9	0	53	1	n/a	n/a
214.025	3.5	genericItem	n/a	n/a	10901	1	9	1	54	1	n/a	n/a
218.023	3.5	genericItem	n/a	n/a	10902	1	9	2	55	1	n/a	n/a
222.024	3.5	controlItem	n/a	n/a	10903	1	9	3	56	1	n/a	controlFoil1
226.024	3.5	criticalItem	n/a	n/a	10904	1	9	4	57	1	n/a	criticalTrue
230.023	3.5	controlItem	n/a	n/a	10905	1	9	5	58	1	n/a	controlFoil2
234.023	3.5	genericItem	n/a	n/a	10906	1	9	6	59	1	n/a	n/a
238.023	3.5	genericItem	n/a	n/a	10907	1	9	7	60	1	n/a	n/a
242.023	3.5	criticalItem	n/a	n/a	10908	1	9	8	61	1	n/a	criticalTrue
246.024	3.5	controlItem	n/a	n/a	10909	1	9	9	62	1	n/a	controlFoil2
250.025	3.5	criticalItem	n/a	n/a	10910	1	9	10	63	1	n/a	criticalTrue
254.025	3.5	controlItem	n/a	n/a	10911	1	9	11	64	1	n/a	controlTrue
258.025	3.5	genericItem	n/a	n/a	10912	1	9	12	65	1	n/a	n/a
262.022	3.5	criticalItem	n/a	n/a	10913	1	9	13	66	1	n/a	criticalTrue
266.023	3.5	genericItem	n/a	n/a	10914	1	9	14	67	1	n/a	n/a
270.024	3.5	controlItem	n/a	n/a	10915	1	9	15	68	1	n/a	controlTrue
274.023	3.5	genericItem	n/a	n/a	10916	1	9	16	69	1	n/a	n/a
278.025	3.5	controlItem	n/a	n/a	10917	1	9	17	70	1	n/a	controlTrue
282.025	3.5	genericItem	n/a	n/a	10918	1	9	18	71	1	n/a	n/a
286.024	3.5	criticalItem	n/a	n/a	10919	1	9	19	72	1	n/a	criticalFalse
290.024	3.5	genericItem	n/a	n/a	10920	1	9	20	73	1	n/a	n/a
294.024	3.5	genericItem	n/a	n/a	10921	1	9	21	74	1	n/a	n/a
298.024	3.5	criticalItem	n/a	n/a	10922	1	9	22	75	1	n/a	criticalFalse
302.023	3.5	controlItem	n/a	n/a	10923	1	9	23	76	1	n/a	controlTrue
306.024	3.5	criticalItem	n/a	n/a	10924	1	9	24	77	1	n/a	criticalFalse
310.023	3.5	genericItem	n/a	n/a	10925	1	9	25	78	1	n/a	n/a
314.023	3.5	criticalItem	n/a	n/a	10926	1	9	26	79	1	n/a	criticalFalse
318.023	3.5	genericItem	n/a	n/a	10927	1	9	27	80	1	n/a	n/a
322.024	3.5	criticalItem	n/a	n/a	10928	1	9	28	81	1	n/a	criticalFoil
326.023	3.5	genericItem	n/a	n/a	10929	1	9	29	82	1	n/a	n/a
330.024	3.5	genericItem	n/a	n/a	10930	1	9	30	83	1	n/a	n/a
334.023	3.5	controlItem	n/a	n/a	10931	1	9	31	84	1	n/a	controlFoil1
