onset	duration	trial_type	response	response_time	stim_id	stim_events	stim_slides	trial_id	run_id	stim_type	response_type
2.00914	n/a	n/a	n/a	n/a	80900	9	0	445	4	8	n/a
12.0079	3.5	controlItem	n/a	n/a	10931	9	31	446	4	1	n/a
15.4914	3.0	controlItem	n/a	n/a	30931	9	31	447	4	0	n/a
18.4933	3.0	controlItem	True	0.697	30931	9	31	448	4	3	controlTrue
22.0074	3.5	controlItem	n/a	n/a	10917	9	17	449	4	1	n/a
25.4906	3.0	controlItem	n/a	n/a	70917	9	17	450	4	0	n/a
28.4905	3.0	controlItem	Foil1	0.777	70917	9	17	451	4	7	controlFoil1
32.0067	3.5	controlItem	n/a	n/a	10903	9	3	452	4	1	n/a
35.4894	3.0	controlItem	n/a	n/a	30903	9	3	453	4	0	n/a
38.4893	3.0	controlItem	True	0.568	30903	9	3	454	4	3	controlTrue
42.0055	3.5	criticalItem	n/a	n/a	10935	9	35	455	4	1	n/a
45.4884	3.0	criticalItem	n/a	n/a	50935	9	35	456	4	0	n/a
48.4882	3.0	criticalItem	False	2.13	50935	9	35	457	4	5	criticalFalse
52.0042	3.5	criticalItem	n/a	n/a	10919	9	19	458	4	1	n/a
55.4876	3.0	criticalItem	n/a	n/a	70919	9	19	459	4	0	n/a
58.4876	3.0	criticalItem	Foil	0.662	70919	9	19	460	4	7	criticalFoil
62.0051	3.5	criticalItem	n/a	n/a	10941	9	41	461	4	1	n/a
65.4872	3.0	criticalItem	n/a	n/a	50941	9	41	462	4	0	n/a
68.4861	3.0	criticalItem	True	1.392	50941	9	41	463	4	5	criticalTrue
72.0028	3.5	criticalItem	n/a	n/a	10928	9	28	464	4	1	n/a
75.4853	3.0	criticalItem	n/a	n/a	70928	9	28	465	4	0	n/a
78.4848	3.0	criticalItem	False	1.102	70928	9	28	466	4	7	criticalFalse
82.0021	3.5	criticalItem	n/a	n/a	10949	9	49	467	4	1	n/a
85.4842	3.0	criticalItem	n/a	n/a	20949	9	49	468	4	0	n/a
88.4837	3.0	criticalItem	True	0.742	20949	9	49	469	4	2	criticalTrue
92.0013	3.5	controlItem	n/a	n/a	10915	9	15	470	4	1	n/a
95.4843	3.0	controlItem	n/a	n/a	70915	9	15	471	4	0	n/a
98.483	3.0	controlItem	Foil1	2.631	70915	9	15	472	4	7	controlFoil1
101.999	3.5	criticalItem	n/a	n/a	10924	9	24	473	4	1	n/a
105.483	3.0	criticalItem	n/a	n/a	70924	9	24	474	4	0	n/a
108.482	3.0	criticalItem	False	0.592	70924	9	24	475	4	7	criticalFalse
112.015	3.5	controlItem	n/a	n/a	10905	9	5	476	4	1	n/a
115.499	3.0	controlItem	n/a	n/a	70905	9	5	477	4	0	n/a
118.498	3.0	controlItem	Foil1	0.761	70905	9	5	478	4	7	controlFoil1
122.014	3.5	criticalItem	n/a	n/a	10908	9	8	479	4	1	n/a
125.498	3.0	criticalItem	n/a	n/a	20908	9	8	480	4	0	n/a
128.498	3.0	criticalItem	True	0.602	20908	9	8	481	4	2	criticalTrue
132.013	3.5	controlItem	n/a	n/a	10947	9	47	482	4	1	n/a
135.496	3.0	controlItem	n/a	n/a	70947	9	47	483	4	0	n/a
138.496	3.0	controlItem	True	1.777	70947	9	47	484	4	7	controlTrue
142.012	3.5	criticalItem	n/a	n/a	10910	9	10	485	4	1	n/a
145.496	3.0	criticalItem	n/a	n/a	40910	9	10	486	4	0	n/a
148.495	3.0	criticalItem	False	0.943	40910	9	10	487	4	4	criticalFalse
152.013	3.5	criticalItem	n/a	n/a	10904	9	4	488	4	1	n/a
155.496	3.0	criticalItem	n/a	n/a	40904	9	4	489	4	0	n/a
158.494	3.0	criticalItem	True	0.654	40904	9	4	490	4	4	criticalTrue
162.01	3.5	controlItem	n/a	n/a	10911	9	11	491	4	1	n/a
165.494	3.0	controlItem	n/a	n/a	60911	9	11	492	4	0	n/a
168.494	3.0	controlItem	True	0.973	60911	9	11	493	4	6	controlTrue
172.009	3.5	controlItem	n/a	n/a	10950	9	50	494	4	1	n/a
175.493	3.0	controlItem	n/a	n/a	50950	9	50	495	4	0	n/a
178.492	3.0	controlItem	True	1.206	50950	9	50	496	4	5	controlTrue
182.008	3.5	criticalItem	n/a	n/a	10926	9	26	497	4	1	n/a
185.492	3.0	criticalItem	n/a	n/a	50926	9	26	498	4	0	n/a
188.491	3.0	criticalItem	False	0.466	50926	9	26	499	4	5	criticalFalse
192.007	3.5	criticalItem	n/a	n/a	10913	9	13	500	4	1	n/a
195.49	3.0	criticalItem	n/a	n/a	70913	9	13	501	4	0	n/a
198.49	3.0	criticalItem	True	0.716	70913	9	13	502	4	7	criticalTrue
202.006	3.5	controlItem	n/a	n/a	10909	9	9	503	4	1	n/a
205.49	3.0	controlItem	n/a	n/a	60909	9	9	504	4	0	n/a
208.488	3.0	controlItem	Foil1	1.089	60909	9	9	505	4	6	controlFoil1
212.005	3.5	controlItem	n/a	n/a	10943	9	43	506	4	1	n/a
215.488	3.0	controlItem	n/a	n/a	50943	9	43	507	4	0	n/a
218.488	3.0	controlItem	True	0.685	50943	9	43	508	4	5	controlTrue
222.005	3.5	controlItem	n/a	n/a	10923	9	23	509	4	1	n/a
225.487	3.0	controlItem	n/a	n/a	60923	9	23	510	4	0	n/a
228.486	3.0	controlItem	True	1.106	60923	9	23	511	4	6	controlTrue
232.003	3.5	criticalItem	n/a	n/a	10922	9	22	512	4	1	n/a
235.487	3.0	criticalItem	n/a	n/a	70922	9	22	513	4	0	n/a
