onset	duration	trial_type	response	response_time	stim_id	stim_events	stim_slides	trial_id	run_id	stim_type	response_type
2.00756	n/a	n/a	n/a	n/a	80100	1	0	149	2	8	n/a
12.0061	3.5	controlItem	n/a	n/a	10140	1	40	150	2	1	n/a
15.4896	3.0	controlItem	n/a	n/a	70140	1	40	151	2	0	n/a
18.489	3.0	controlItem	Foil1	0.926	70140	1	40	152	2	7	controlFoil1
22.0055	3.5	criticalItem	n/a	n/a	10150	1	50	153	2	1	n/a
25.4897	3.0	criticalItem	n/a	n/a	70150	1	50	154	2	0	n/a
28.4886	3.0	criticalItem	True	1.162	70150	1	50	155	2	7	criticalTrue
32.005	3.5	controlItem	n/a	n/a	10116	1	16	156	2	1	n/a
35.4889	3.0	controlItem	n/a	n/a	50116	1	16	157	2	0	n/a
38.4883	3.0	controlItem	Foil1	0.84	50116	1	16	158	2	5	controlFoil1
42.0032	3.5	criticalItem	n/a	n/a	10141	1	41	159	2	1	n/a
45.4877	3.0	criticalItem	n/a	n/a	40141	1	41	160	2	0	n/a
48.4865	3.0	criticalItem	False	0.842	40141	1	41	161	2	4	criticalFalse
52.0038	3.5	controlItem	n/a	n/a	10125	1	25	162	2	1	n/a
55.4873	3.0	controlItem	n/a	n/a	70125	1	25	163	2	0	n/a
58.4855	3.0	controlItem	True	0.771	70125	1	25	164	2	7	controlTrue
62.0009	3.5	controlItem	n/a	n/a	10149	1	49	165	2	1	n/a
65.485	3.0	controlItem	n/a	n/a	60149	1	49	166	2	0	n/a
68.4838	3.0	controlItem	True	1.002	60149	1	49	167	2	6	controlTrue
72.0007	3.5	criticalItem	n/a	n/a	10112	1	12	168	2	1	n/a
75.4829	3.0	criticalItem	n/a	n/a	20112	1	12	169	2	0	n/a
78.4844	3.0	criticalItem	Foil	0.815	20112	1	12	170	2	2	criticalFoil
82.0008	3.5	criticalItem	n/a	n/a	10119	1	19	171	2	1	n/a
85.4826	3.0	criticalItem	n/a	n/a	50119	1	19	172	2	0	n/a
88.4833	3.0	criticalItem	False	1.264	50119	1	19	173	2	5	criticalFalse
92.0153	3.5	criticalItem	n/a	n/a	10128	1	28	174	2	1	n/a
95.5004	3.0	criticalItem	n/a	n/a	20128	1	28	175	2	0	n/a
98.4992	3.0	criticalItem	True	0.687	20128	1	28	176	2	2	criticalTrue
102.014	3.5	criticalItem	n/a	n/a	10110	1	10	177	2	1	n/a
105.498	3.0	criticalItem	n/a	n/a	40110	1	10	178	2	0	n/a
108.497	3.0	criticalItem	True	0.656	40110	1	10	179	2	4	criticalTrue
112.014	3.5	criticalItem	n/a	n/a	10131	1	31	180	2	1	n/a
115.497	3.0	criticalItem	n/a	n/a	70131	1	31	181	2	0	n/a
118.497	3.0	criticalItem	True	0.889	70131	1	31	182	2	7	criticalTrue
122.013	3.5	controlItem	n/a	n/a	10118	1	18	183	2	1	n/a
125.496	3.0	controlItem	n/a	n/a	60118	1	18	184	2	0	n/a
128.496	3.0	controlItem	True	0.932	60118	1	18	185	2	6	controlTrue
132.011	3.5	controlItem	n/a	n/a	10104	1	4	186	2	1	n/a
135.494	3.0	controlItem	n/a	n/a	30104	1	4	187	2	0	n/a
138.495	3.0	controlItem	True	0.679	30104	1	4	188	2	3	controlTrue
