onset	duration	trial_type	response	response_time	stim_id	stim_events	stim_slides	trial_id	run_id	stim_type	response_type
2.00897	n/a	n/a	n/a	n/a	80900	9	0	149	2	8	n/a
12.0068	3.5	controlItem	n/a	n/a	10915	9	15	150	2	1	n/a
15.4911	3.0	controlItem	n/a	n/a	20915	9	15	151	2	0	n/a
18.4893	3.0	controlItem	True	0.597	20915	9	15	152	2	2	controlTrue
22.0052	3.5	criticalItem	n/a	n/a	10922	9	22	153	2	1	n/a
25.49	3.0	criticalItem	n/a	n/a	50922	9	22	154	2	0	n/a
28.489	3.0	criticalItem	True	0.53	50922	9	22	155	2	5	criticalTrue
32.0061	3.5	criticalItem	n/a	n/a	10908	9	8	156	2	1	n/a
35.4881	3.0	criticalItem	n/a	n/a	60908	9	8	157	2	0	n/a
38.4878	3.0	criticalItem	True	0.462	60908	9	8	158	2	6	criticalTrue
42.0049	3.5	criticalItem	n/a	n/a	10919	9	19	159	2	1	n/a
45.488	3.0	criticalItem	n/a	n/a	50919	9	19	160	2	0	n/a
48.4877	3.0	criticalItem	False	0.429	50919	9	19	161	2	5	criticalFalse
52.0025	3.5	controlItem	n/a	n/a	10911	9	11	162	2	1	n/a
55.4856	3.0	controlItem	n/a	n/a	60911	9	11	163	2	0	n/a
58.4867	3.0	controlItem	True	0.622	60911	9	11	164	2	6	controlTrue
62.0013	3.5	controlItem	n/a	n/a	10931	9	31	165	2	1	n/a
65.4849	3.0	controlItem	n/a	n/a	40931	9	31	166	2	0	n/a
68.4848	3.0	controlItem	Foil1	0.484	40931	9	31	167	2	4	controlFoil1
72.0021	3.5	controlItem	n/a	n/a	10905	9	5	168	2	1	n/a
75.485	3.0	controlItem	n/a	n/a	50905	9	5	169	2	0	n/a
78.4846	3.0	controlItem	Foil2	0.771	50905	9	5	170	2	5	controlFoil2
82.0013	3.5	controlItem	n/a	n/a	10950	9	50	171	2	1	n/a
85.483	3.0	controlItem	n/a	n/a	70950	9	50	172	2	0	n/a
88.4824	3.0	controlItem	Foil2	0.766	70950	9	50	173	2	7	controlFoil2
92.0002	3.5	criticalItem	n/a	n/a	10924	9	24	174	2	1	n/a
95.4819	3.0	criticalItem	n/a	n/a	20924	9	24	175	2	0	n/a
98.4811	3.0	criticalItem	False	0.645	20924	9	24	176	2	2	criticalFalse
101.999	3.5	criticalItem	n/a	n/a	10910	9	10	177	2	1	n/a
105.481	3.0	criticalItem	n/a	n/a	70910	9	10	178	2	0	n/a
108.481	3.0	criticalItem	Foil	0.633	70910	9	10	179	2	7	criticalFoil
112.015	3.5	controlItem	n/a	n/a	10947	9	47	180	2	1	n/a
115.497	3.0	controlItem	n/a	n/a	60947	9	47	181	2	0	n/a
118.496	3.0	controlItem	True	0.74	60947	9	47	182	2	6	controlTrue
122.012	3.5	controlItem	n/a	n/a	10945	9	45	183	2	1	n/a
125.497	3.0	controlItem	n/a	n/a	40945	9	45	184	2	0	n/a
128.495	3.0	controlItem	True	0.574	40945	9	45	185	2	4	controlTrue
132.013	3.5	criticalItem	n/a	n/a	10941	9	41	186	2	1	n/a
135.496	3.0	criticalItem	n/a	n/a	40941	9	41	187	2	0	n/a
138.495	3.0	criticalItem	True	0.585	40941	9	41	188	2	4	criticalTrue
142.01	3.5	controlItem	n/a	n/a	10903	9	3	189	2	1	n/a
