onset	duration	trial_type	response	response_time	stim_id	stim_version	stim_events	stim_slides	trial_id	run_id	stim_redcross	subsequent_response_type
2.0292	n/a	n/a	n/a	n/a	80200	8	2	0	316	4	n/a	n/a
6.024	3.5	genericItem	n/a	n/a	10201	1	2	1	317	4	n/a	n/a
10.024	3.5	genericItem	n/a	n/a	10202	1	2	2	318	4	n/a	n/a
14.024	3.5	genericItem	n/a	n/a	10203	1	2	3	319	4	n/a	n/a
18.0237	3.5	controlItem	n/a	n/a	10204	1	2	4	320	4	n/a	controlTrue
22.0227	3.5	controlItem	n/a	n/a	10205	1	2	5	321	4	n/a	controlTrue
26.0246	3.5	genericItem	n/a	n/a	10206	1	2	6	322	4	n/a	n/a
30.0237	3.5	controlItem	n/a	n/a	10207	1	2	7	323	4	n/a	controlTrue
34.0238	3.5	genericItem	n/a	n/a	10208	1	2	8	324	4	n/a	n/a
38.0236	3.5	genericItem	n/a	n/a	10209	1	2	9	325	4	n/a	n/a
42.0232	3.5	genericItem	n/a	n/a	10210	1	2	10	326	4	n/a	n/a
46.0234	3.5	genericItem	n/a	n/a	10211	1	2	11	327	4	n/a	n/a
50.0244	3.5	genericItem	n/a	n/a	10212	1	2	12	328	4	n/a	n/a
54.0233	3.5	genericItem	n/a	n/a	10213	1	2	13	329	4	n/a	n/a
58.0696	3.5	criticalItem	n/a	n/a	10214	1	2	14	330	4	n/a	criticalFalse
62.023	3.5	genericItem	n/a	n/a	10215	1	2	15	331	4	n/a	n/a
66.0234	3.5	genericItem	1	0.394	10216	1	2	16	332	4	1	n/a
70.0238	3.5	controlItem	n/a	n/a	10217	1	2	17	333	4	n/a	controlTrue
74.0229	3.5	genericItem	n/a	n/a	10218	1	2	18	334	4	n/a	n/a
78.0873	3.5	criticalItem	n/a	n/a	10219	1	2	19	335	4	n/a	criticalFoil
82.0228	3.5	genericItem	n/a	n/a	10220	1	2	20	336	4	n/a	n/a
86.0236	3.5	genericItem	n/a	n/a	10221	1	2	21	337	4	n/a	n/a
90.0235	3.5	controlItem	n/a	n/a	10222	1	2	22	338	4	n/a	controlFoil1
94.0235	3.5	criticalItem	n/a	n/a	10223	1	2	23	339	4	n/a	criticalFoil
98.023	3.5	genericItem	1	0.413	10224	1	2	24	340	4	1	n/a
102.024	3.5	criticalItem	n/a	n/a	10225	1	2	25	341	4	n/a	criticalFalse
106.023	3.5	genericItem	1	0.35	10226	1	2	26	342	4	1	n/a
110.023	3.5	genericItem	1	0.499	10227	1	2	27	343	4	1	n/a
114.024	3.5	criticalItem	n/a	n/a	10228	1	2	28	344	4	n/a	criticalFoil
118.023	3.5	genericItem	n/a	n/a	10229	1	2	29	345	4	n/a	n/a
122.023	3.5	controlItem	n/a	n/a	10230	1	2	30	346	4	n/a	controlFoil1
126.08	3.5	criticalItem	n/a	n/a	10231	1	2	31	347	4	n/a	criticalTrue
130.025	3.5	controlItem	n/a	n/a	10232	1	2	32	348	4	n/a	controlFoil1
134.025	3.5	genericItem	n/a	n/a	10233	1	2	33	349	4	n/a	n/a
138.024	3.5	criticalItem	n/a	n/a	10234	1	2	34	350	4	n/a	criticalFalse
142.023	3.5	controlItem	n/a	n/a	10235	1	2	35	351	4	n/a	controlTrue
146.025	3.5	criticalItem	n/a	n/a	10236	1	2	36	352	4	n/a	criticalFalse
150.023	3.5	controlItem	n/a	n/a	10237	1	2	37	353	4	n/a	controlFoil2
154.065	3.5	criticalItem	n/a	n/a	10238	1	2	38	354	4	n/a	criticalFoil
158.024	3.5	genericItem	n/a	n/a	10239	1	2	39	355	4	n/a	n/a
162.023	3.5	genericItem	n/a	n/a	10240	1	2	40	356	4	n/a	n/a
166.071	3.5	criticalItem	n/a	n/a	10241	1	2	41	357	4	n/a	criticalTrue
170.024	3.5	controlItem	n/a	n/a	10242	1	2	42	358	4	n/a	controlFoil1
174.024	3.5	genericItem	n/a	n/a	10243	1	2	43	359	4	n/a	n/a
178.024	3.5	genericItem	n/a	n/a	10244	1	2	44	360	4	n/a	n/a
182.084	3.5	criticalItem	n/a	n/a	10245	1	2	45	361	4	n/a	criticalTrue
186.024	3.5	controlItem	n/a	n/a	10246	1	2	46	362	4	n/a	controlTrue
190.023	3.5	genericItem	n/a	n/a	10247	1	2	47	363	4	n/a	n/a
194.024	3.5	controlItem	n/a	n/a	10248	1	2	48	364	4	n/a	controlFoil2
198.024	3.5	criticalItem	n/a	n/a	10249	1	2	49	365	4	n/a	criticalTrue
202.024	3.5	genericItem	n/a	n/a	10250	1	2	50	366	4	n/a	n/a
206.023	n/a	n/a	n/a	n/a	90200	9	2	0	367	4	n/a	n/a
210.024	n/a	n/a	n/a	n/a	81000	8	10	0	368	4	n/a	n/a
214.023	3.5	genericItem	1	0.564	11001	1	10	1	369	4	1	n/a
218.024	3.5	genericItem	n/a	n/a	11002	1	10	2	370	4	n/a	n/a
222.088	3.5	criticalItem	n/a	n/a	11003	1	10	3	371	4	n/a	criticalTrue
226.024	3.5	genericItem	n/a	n/a	11004	1	10	4	372	4	n/a	n/a
230.024	3.5	criticalItem	n/a	n/a	11005	1	10	5	373	4	n/a	criticalFoil
234.024	3.5	genericItem	n/a	n/a	11006	1	10	6	374	4	n/a	n/a
238.024	3.5	genericItem	n/a	n/a	11007	1	10	7	375	4	n/a	n/a
242.058	3.5	criticalItem	n/a	n/a	11008	1	10	8	376	4	n/a	criticalFoil
246.024	3.5	genericItem	n/a	n/a	11009	1	10	9	377	4	n/a	n/a
250.074	3.5	criticalItem	n/a	n/a	11010	1	10	10	378	4	n/a	criticalFalse
254.024	3.5	genericItem	n/a	n/a	11011	1	10	11	379	4	n/a	n/a
258.024	3.5	genericItem	n/a	n/a	11012	1	10	12	380	4	n/a	n/a
262.023	3.5	genericItem	n/a	n/a	11013	1	10	13	381	4	n/a	n/a
266.024	3.5	genericItem	n/a	n/a	11014	1	10	14	382	4	n/a	n/a
270.08	3.5	criticalItem	n/a	n/a	11015	1	10	15	383	4	n/a	criticalTrue
274.024	3.5	genericItem	n/a	n/a	11016	1	10	16	384	4	n/a	n/a
278.023	3.5	controlItem	n/a	n/a	11017	1	10	17	385	4	n/a	controlFoil1
282.024	3.5	criticalItem	n/a	n/a	11018	1	10	18	386	4	n/a	criticalFalse
286.024	3.5	controlItem	n/a	n/a	11019	1	10	19	387	4	n/a	controlTrue
290.08	3.5	criticalItem	n/a	n/a	11020	1	10	20	388	4	n/a	criticalTrue
294.024	3.5	controlItem	n/a	n/a	11021	1	10	21	389	4	n/a	controlTrue
298.023	3.5	genericItem	n/a	n/a	11022	1	10	22	390	4	n/a	n/a
302.079	3.5	criticalItem	n/a	n/a	11023	1	10	23	391	4	n/a	criticalFalse
306.024	3.5	genericItem	n/a	n/a	11024	1	10	24	392	4	n/a	n/a
310.023	3.5	genericItem	n/a	n/a	11025	1	10	25	393	4	n/a	n/a
314.024	3.5	criticalItem	n/a	n/a	11026	1	10	26	394	4	n/a	criticalFoil
318.023	3.5	genericItem	n/a	n/a	11027	1	10	27	395	4	n/a	n/a
322.023	3.5	controlItem	n/a	n/a	11028	1	10	28	396	4	n/a	controlTrue
326.023	3.5	controlItem	n/a	n/a	11029	1	10	29	397	4	n/a	controlTrue
330.024	3.5	genericItem	n/a	n/a	11030	1	10	30	398	4	n/a	n/a
334.024	3.5	controlItem	n/a	n/a	11031	1	10	31	399	4	n/a	controlFoil2
338.023	3.5	genericItem	n/a	n/a	11032	1	10	32	400	4	n/a	n/a
342.078	3.5	criticalItem	n/a	n/a	11033	1	10	33	401	4	n/a	criticalFalse
346.024	3.5	genericItem	n/a	n/a	11034	1	10	34	402	4	n/a	n/a
350.024	3.5	criticalItem	n/a	n/a	11035	1	10	35	403	4	n/a	criticalFalse
354.024	3.5	genericItem	n/a	n/a	11036	1	10	36	404	4	n/a	n/a
358.024	3.5	controlItem	n/a	n/a	11037	1	10	37	405	4	n/a	controlFoil1
362.024	3.5	controlItem	n/a	n/a	11038	1	10	38	406	4	n/a	controlTrue
366.025	3.5	controlItem	n/a	n/a	11039	1	10	39	407	4	n/a	controlTrue
370.024	3.5	controlItem	n/a	n/a	11040	1	10	40	408	4	n/a	controlFoil2
374.024	3.5	genericItem	n/a	n/a	11041	1	10	41	409	4	n/a	n/a
378.023	3.5	genericItem	n/a	n/a	11042	1	10	42	410	4	n/a	n/a
382.023	3.5	genericItem	1	0.418	11043	1	10	43	411	4	1	n/a
386.024	3.5	genericItem	n/a	n/a	11044	1	10	44	412	4	n/a	n/a
390.078	3.5	criticalItem	n/a	n/a	11045	1	10	45	413	4	n/a	criticalFalse
394.024	3.5	controlItem	n/a	n/a	11046	1	10	46	414	4	n/a	controlFoil2
398.024	3.5	genericItem	n/a	n/a	11047	1	10	47	415	4	n/a	n/a
402.022	3.5	genericItem	n/a	n/a	11048	1	10	48	416	4	n/a	n/a
406.024	3.5	controlItem	n/a	n/a	11049	1	10	49	417	4	n/a	controlTrue
410.024	3.5	genericItem	n/a	n/a	11050	1	10	50	418	4	n/a	n/a
414.023	n/a	n/a	n/a	n/a	91000	9	10	0	419	4	n/a	n/a
418.024	n/a	n/a	n/a	n/a	90000	5	0	0	420	4	n/a	n/a
