onset	duration	trial_type	response	response_time	stim_id	stim_events	stim_slides	trial_id	run_id	stim_type	response_type
2.00809	n/a	n/a	n/a	n/a	80500	5	0	149	2	8	n/a
12.0068	3.5	criticalItem	n/a	n/a	10503	5	3	150	2	1	n/a
15.4895	3.0	criticalItem	n/a	n/a	20503	5	3	151	2	0	n/a
18.49	3.0	criticalItem	True	0.692	20503	5	3	152	2	2	criticalTrue
22.0058	3.5	controlItem	n/a	n/a	10532	5	32	153	2	1	n/a
25.4886	3.0	controlItem	n/a	n/a	70532	5	32	154	2	0	n/a
28.488	3.0	controlItem	True	0.552	70532	5	32	155	2	7	controlTrue
32.0049	3.5	controlItem	n/a	n/a	10527	5	27	156	2	1	n/a
35.488	3.0	controlItem	n/a	n/a	60527	5	27	157	2	0	n/a
38.4875	3.0	controlItem	True	0.543	60527	5	27	158	2	6	controlTrue
42.0036	3.5	controlItem	n/a	n/a	10546	5	46	159	2	1	n/a
45.4866	3.0	controlItem	n/a	n/a	30546	5	46	160	2	0	n/a
48.4861	3.0	controlItem	True	0.537	30546	5	46	161	2	3	controlTrue
52.0026	3.5	criticalItem	n/a	n/a	10539	5	39	162	2	1	n/a
55.4863	3.0	criticalItem	n/a	n/a	20539	5	39	163	2	0	n/a
58.4862	3.0	criticalItem	False	0.486	20539	5	39	164	2	2	criticalFalse
62.0008	3.5	controlItem	n/a	n/a	10524	5	24	165	2	1	n/a
65.4859	3.0	controlItem	n/a	n/a	50524	5	24	166	2	0	n/a
68.4839	3.0	controlItem	True	0.828	50524	5	24	167	2	5	controlTrue
72.0004	3.5	controlItem	n/a	n/a	10518	5	18	168	2	1	n/a
75.4838	3.0	controlItem	n/a	n/a	20518	5	18	169	2	0	n/a
78.4836	3.0	controlItem	True	0.455	20518	5	18	170	2	2	controlTrue
81.9997	3.5	criticalItem	n/a	n/a	10521	5	21	171	2	1	n/a
85.4829	3.0	criticalItem	n/a	n/a	50521	5	21	172	2	0	n/a
88.4828	3.0	criticalItem	False	0.592	50521	5	21	173	2	5	criticalFalse
92.0157	3.5	controlItem	n/a	n/a	10515	5	15	174	2	1	n/a
95.4984	3.0	controlItem	n/a	n/a	50515	5	15	175	2	0	n/a
98.4984	3.0	controlItem	Foil2	0.439	50515	5	15	176	2	5	controlFoil2
102.014	3.5	criticalItem	n/a	n/a	10550	5	50	177	2	1	n/a
105.497	3.0	criticalItem	n/a	n/a	60550	5	50	178	2	0	n/a
108.497	3.0	criticalItem	True	1.872	60550	5	50	179	2	6	criticalTrue
112.014	3.5	controlItem	n/a	n/a	10517	5	17	180	2	1	n/a
115.496	3.0	controlItem	n/a	n/a	30517	5	17	181	2	0	n/a
118.497	3.0	controlItem	Foil1	1.546	30517	5	17	182	2	3	controlFoil1
122.014	3.5	controlItem	n/a	n/a	10525	5	25	183	2	1	n/a
125.496	3.0	controlItem	n/a	n/a	60525	5	25	184	2	0	n/a
128.495	3.0	controlItem	True	0.601	60525	5	25	185	2	6	controlTrue
132.011	3.5	controlItem	n/a	n/a	10514	5	14	186	2	1	n/a
135.494	3.0	controlItem	n/a	n/a	70514	5	14	187	2	0	n/a
138.494	3.0	controlItem	Foil2	1.069	70514	5	14	188	2	7	controlFoil2
142.01	3.5	criticalItem	n/a	n/a	10516	5	16	189	2	1	n/a
145.494	3.0	criticalItem	n/a	n/a	20516	5	16	190	2	0	n/a
148.493	3.0	criticalItem	False	0.408	20516	5	16	191	2	2	criticalFalse
152.009	3.5	controlItem	n/a	n/a	10522	5	22	192	2	1	n/a
155.493	3.0	controlItem	n/a	n/a	40522	5	22	193	2	0	n/a
158.493	3.0	controlItem	Foil1	1.789	40522	5	22	194	2	4	controlFoil1
162.009	3.5	controlItem	n/a	n/a	10549	5	49	195	2	1	n/a
165.491	3.0	controlItem	n/a	n/a	50549	5	49	196	2	0	n/a
168.49	3.0	controlItem	Foil2	1.148	50549	5	49	197	2	5	controlFoil2
172.007	3.5	criticalItem	n/a	n/a	10531	5	31	198	2	1	n/a
