onset	duration	trial_type	response	response_time	stim_id	stim_version	stim_events	stim_slides	trial_id	run_id	stim_redcross	subsequent_response_type
2.0356	n/a	n/a	n/a	n/a	80300	8	3	0	106	2	n/a	n/a
6.0239	3.5	genericItem	n/a	n/a	10301	1	3	1	107	2	n/a	n/a
10.0227	3.5	genericItem	n/a	n/a	10302	1	3	2	108	2	n/a	n/a
14.0228	3.5	controlItem	n/a	n/a	10303	1	3	3	109	2	n/a	controlTrue
18.0239	3.5	genericItem	n/a	n/a	10304	1	3	4	110	2	n/a	n/a
22.0235	3.5	criticalItem	n/a	n/a	20305	2	3	5	111	2	n/a	criticalFalse
26.0236	3.5	genericItem	n/a	n/a	10306	1	3	6	112	2	n/a	n/a
30.0237	3.5	genericItem	n/a	n/a	10307	1	3	7	113	2	n/a	n/a
34.0233	3.5	genericItem	n/a	n/a	10308	1	3	8	114	2	n/a	n/a
38.0237	3.5	controlItem	n/a	n/a	10309	1	3	9	115	2	n/a	controlTrue
42.0234	3.5	genericItem	n/a	n/a	10310	1	3	10	116	2	n/a	n/a
46.0239	3.5	genericItem	n/a	n/a	10311	1	3	11	117	2	n/a	n/a
50.0242	3.5	genericItem	1	0.469	10312	1	3	12	118	2	1	n/a
54.0239	3.5	controlItem	n/a	n/a	10313	1	3	13	119	2	n/a	controlTrue
58.0231	3.5	genericItem	n/a	n/a	10314	1	3	14	120	2	n/a	n/a
62.0241	3.5	genericItem	n/a	n/a	10315	1	3	15	121	2	n/a	n/a
66.0239	3.5	criticalItem	n/a	n/a	20316	2	3	16	122	2	n/a	criticalFalse
70.0233	3.5	controlItem	n/a	n/a	10317	1	3	17	123	2	n/a	controlTrue
74.0244	3.5	genericItem	n/a	n/a	10318	1	3	18	124	2	n/a	n/a
78.0243	3.5	criticalItem	n/a	n/a	20319	2	3	19	125	2	n/a	criticalTrue
82.0236	3.5	controlItem	n/a	n/a	10320	1	3	20	126	2	n/a	controlTrue
86.0235	3.5	genericItem	1	0.529	10321	1	3	21	127	2	1	n/a
90.024	3.5	criticalItem	n/a	n/a	20322	2	3	22	128	2	n/a	criticalTrue
94.0235	3.5	genericItem	n/a	n/a	10323	1	3	23	129	2	n/a	n/a
98.0232	3.5	criticalItem	n/a	n/a	20324	2	3	24	130	2	n/a	criticalFoil
102.023	3.5	controlItem	n/a	n/a	10325	1	3	25	131	2	n/a	controlTrue
106.024	3.5	genericItem	n/a	n/a	10326	1	3	26	132	2	n/a	n/a
110.023	3.5	criticalItem	n/a	n/a	20327	2	3	27	133	2	n/a	criticalTrue
114.023	3.5	genericItem	1	0.546	10328	1	3	28	134	2	1	n/a
118.023	3.5	controlItem	n/a	n/a	10329	1	3	29	135	2	n/a	controlTrue
122.024	3.5	criticalItem	n/a	n/a	20330	2	3	30	136	2	n/a	criticalFoil
126.022	3.5	controlItem	n/a	n/a	10331	1	3	31	137	2	n/a	controlTrue
130.023	3.5	criticalItem	n/a	n/a	20332	2	3	32	138	2	n/a	criticalTrue
134.023	3.5	genericItem	n/a	n/a	10333	1	3	33	139	2	n/a	n/a
138.024	3.5	genericItem	n/a	n/a	10334	1	3	34	140	2	n/a	n/a
142.023	3.5	genericItem	n/a	n/a	10335	1	3	35	141	2	n/a	n/a
146.024	3.5	criticalItem	n/a	n/a	20336	2	3	36	142	2	n/a	criticalFalse
150.024	3.5	genericItem	n/a	n/a	10337	1	3	37	143	2	n/a	n/a
154.023	3.5	genericItem	n/a	n/a	10338	1	3	38	144	2	n/a	n/a
158.024	3.5	genericItem	n/a	n/a	10339	1	3	39	145	2	n/a	n/a
162.023	3.5	genericItem	n/a	n/a	10340	1	3	40	146	2	n/a	n/a
166.025	3.5	criticalItem	n/a	n/a	20341	2	3	41	147	2	n/a	criticalFalse
170.024	3.5	controlItem	n/a	n/a	10342	1	3	42	148	2	n/a	controlFoil2
174.023	3.5	genericItem	n/a	n/a	10343	1	3	43	149	2	n/a	n/a
178.026	3.5	criticalItem	n/a	n/a	20344	2	3	44	150	2	n/a	criticalFalse
182.025	3.5	controlItem	n/a	n/a	10345	1	3	45	151	2	n/a	controlTrue
186.024	3.5	genericItem	n/a	n/a	10346	1	3	46	152	2	n/a	n/a
190.024	3.5	criticalItem	n/a	n/a	20347	2	3	47	153	2	n/a	criticalTrue
194.024	3.5	controlItem	n/a	n/a	10348	1	3	48	154	2	n/a	controlFoil2
198.024	3.5	genericItem	n/a	n/a	10349	1	3	49	155	2	n/a	n/a
202.023	3.5	controlItem	n/a	n/a	10350	1	3	50	156	2	n/a	controlTrue
206.024	n/a	n/a	n/a	n/a	90300	9	3	0	157	2	n/a	n/a
210.024	n/a	n/a	n/a	n/a	80700	8	7	0	158	2	n/a	n/a
214.024	3.5	genericItem	n/a	n/a	10701	1	7	1	159	2	n/a	n/a
218.023	3.5	genericItem	n/a	n/a	10702	1	7	2	160	2	n/a	n/a
222.024	3.5	controlItem	n/a	n/a	10703	1	7	3	161	2	n/a	controlFoil1
226.022	3.5	criticalItem	n/a	n/a	20704	2	7	4	162	2	n/a	criticalTrue
230.024	3.5	controlItem	n/a	n/a	10705	1	7	5	163	2	n/a	controlTrue
234.024	3.5	genericItem	n/a	n/a	10706	1	7	6	164	2	n/a	n/a
238.023	3.5	controlItem	n/a	n/a	10707	1	7	7	165	2	n/a	controlTrue
242.025	3.5	controlItem	n/a	n/a	10708	1	7	8	166	2	n/a	controlTrue
246.023	3.5	criticalItem	n/a	n/a	20709	2	7	9	167	2	n/a	criticalTrue
250.024	3.5	genericItem	n/a	n/a	10710	1	7	10	168	2	n/a	n/a
254.023	3.5	controlItem	n/a	n/a	10711	1	7	11	169	2	n/a	controlTrue
258.024	3.5	criticalItem	n/a	n/a	20712	2	7	12	170	2	n/a	criticalTrue
262.024	3.5	genericItem	n/a	n/a	10713	1	7	13	171	2	n/a	n/a
266.023	3.5	controlItem	n/a	n/a	10714	1	7	14	172	2	n/a	controlTrue
270.023	3.5	genericItem	1	0.449	10715	1	7	15	173	2	1	n/a
274.023	3.5	genericItem	n/a	n/a	10716	1	7	16	174	2	n/a	n/a
278.024	3.5	genericItem	n/a	n/a	10717	1	7	17	175	2	n/a	n/a
282.024	3.5	controlItem	n/a	n/a	10718	1	7	18	176	2	n/a	controlTrue
286.024	3.5	criticalItem	n/a	n/a	20719	2	7	19	177	2	n/a	criticalFalse
290.023	3.5	controlItem	n/a	n/a	10720	1	7	20	178	2	n/a	controlTrue
294.023	3.5	criticalItem	n/a	n/a	20721	2	7	21	179	2	n/a	criticalTrue
298.024	3.5	genericItem	n/a	n/a	10722	1	7	22	180	2	n/a	n/a
302.024	3.5	genericItem	n/a	n/a	10723	1	7	23	181	2	n/a	n/a
306.023	3.5	genericItem	1	0.545	10724	1	7	24	182	2	1	n/a
