onset	duration	trial_type	response	response_time	stim_id	stim_version	stim_events	stim_slides	trial_id	run_id	stim_redcross	subsequent_response_type
2.0368	n/a	n/a	n/a	n/a	80900	8	9	0	316	4	n/a	n/a
6.0269	3.5	genericItem	n/a	n/a	10901	1	9	1	317	4	n/a	n/a
10.0241	3.5	genericItem	n/a	n/a	10902	1	9	2	318	4	n/a	n/a
14.0242	3.5	controlItem	n/a	n/a	10903	1	9	3	319	4	n/a	controlTrue
18.025	3.5	criticalItem	n/a	n/a	10904	1	9	4	320	4	n/a	criticalTrue
22.0228	3.5	controlItem	n/a	n/a	10905	1	9	5	321	4	n/a	controlFoil1
26.0228	3.5	genericItem	n/a	n/a	10906	1	9	6	322	4	n/a	n/a
30.0234	3.5	genericItem	n/a	n/a	10907	1	9	7	323	4	n/a	n/a
34.0223	3.5	criticalItem	n/a	n/a	10908	1	9	8	324	4	n/a	criticalTrue
38.0216	3.5	controlItem	n/a	n/a	10909	1	9	9	325	4	n/a	controlFoil2
42.0235	3.5	criticalItem	n/a	n/a	10910	1	9	10	326	4	n/a	criticalTrue
46.0243	3.5	controlItem	n/a	n/a	10911	1	9	11	327	4	n/a	controlTrue
50.0236	3.5	genericItem	n/a	n/a	10912	1	9	12	328	4	n/a	n/a
54.0234	3.5	criticalItem	n/a	n/a	10913	1	9	13	329	4	n/a	criticalTrue
58.0219	3.5	genericItem	n/a	n/a	10914	1	9	14	330	4	n/a	n/a
62.0231	3.5	controlItem	n/a	n/a	10915	1	9	15	331	4	n/a	controlFoil1
66.0233	3.5	genericItem	n/a	n/a	10916	1	9	16	332	4	n/a	n/a
70.023	3.5	controlItem	n/a	n/a	10917	1	9	17	333	4	n/a	controlTrue
74.024	3.5	genericItem	n/a	n/a	10918	1	9	18	334	4	n/a	n/a
78.0228	3.5	criticalItem	n/a	n/a	10919	1	9	19	335	4	n/a	criticalFoil
82.0228	3.5	genericItem	n/a	n/a	10920	1	9	20	336	4	n/a	n/a
86.024	3.5	genericItem	n/a	n/a	10921	1	9	21	337	4	n/a	n/a
90.0234	3.5	criticalItem	n/a	n/a	10922	1	9	22	338	4	n/a	criticalFoil
94.0219	3.5	controlItem	n/a	n/a	10923	1	9	23	339	4	n/a	controlFoil2
98.0239	3.5	criticalItem	n/a	n/a	10924	1	9	24	340	4	n/a	criticalFalse
102.022	3.5	genericItem	n/a	n/a	10925	1	9	25	341	4	n/a	n/a
106.024	3.5	criticalItem	n/a	n/a	10926	1	9	26	342	4	n/a	criticalFalse
110.023	3.5	genericItem	n/a	n/a	10927	1	9	27	343	4	n/a	n/a
114.025	3.5	criticalItem	n/a	n/a	10928	1	9	28	344	4	n/a	criticalTrue
118.023	3.5	genericItem	n/a	n/a	10929	1	9	29	345	4	n/a	n/a
