onset	duration	trial_type	response	response_time	stim_id	stim_events	stim_slides	trial_id	run_id	stim_type	response_type
2.00809	n/a	n/a	n/a	n/a	80300	3	0	445	4	8	n/a
12.0072	3.5	controlItem	n/a	n/a	10320	3	20	446	4	1	n/a
15.4915	3.0	controlItem	n/a	n/a	40320	3	20	447	4	0	n/a
18.4911	3.0	controlItem	Foil2	1.343	40320	3	20	448	4	4	controlFoil2
22.0054	3.5	controlItem	n/a	n/a	10350	3	50	449	4	1	n/a
25.4889	3.0	controlItem	n/a	n/a	20350	3	50	450	4	0	n/a
28.4887	3.0	controlItem	Foil1	0.514	20350	3	50	451	4	2	controlFoil1
32.0053	3.5	controlItem	n/a	n/a	10303	3	3	452	4	1	n/a
35.4885	3.0	controlItem	n/a	n/a	60303	3	3	453	4	0	n/a
38.49	3.0	controlItem	True	0.366	60303	3	3	454	4	6	controlTrue
42.0046	3.5	controlItem	n/a	n/a	10348	3	48	455	4	1	n/a
45.487	3.0	controlItem	n/a	n/a	40348	3	48	456	4	0	n/a
48.487	3.0	controlItem	Foil1	0.4	40348	3	48	457	4	4	controlFoil1
52.003	3.5	criticalItem	n/a	n/a	10330	3	30	458	4	1	n/a
55.4861	3.0	criticalItem	n/a	n/a	60330	3	30	459	4	0	n/a
58.4854	3.0	criticalItem	False	0.57	60330	3	30	460	4	6	criticalFalse
62.0024	3.5	criticalItem	n/a	n/a	10327	3	27	461	4	1	n/a
65.4852	3.0	criticalItem	n/a	n/a	70327	3	27	462	4	0	n/a
68.4842	3.0	criticalItem	Foil	0.643	70327	3	27	463	4	7	criticalFoil
72.0004	3.5	controlItem	n/a	n/a	10313	3	13	464	4	1	n/a
75.4833	3.0	controlItem	n/a	n/a	70313	3	13	465	4	0	n/a
78.4836	3.0	controlItem	True	1.125	70313	3	13	466	4	7	controlTrue
81.9992	3.5	controlItem	n/a	n/a	10345	3	45	467	4	1	n/a
85.4833	3.0	controlItem	n/a	n/a	30345	3	45	468	4	0	n/a
88.4843	3.0	controlItem	True	0.336	30345	3	45	469	4	3	controlTrue
92.0151	3.5	criticalItem	n/a	n/a	10341	3	41	470	4	1	n/a
