onset	duration	trial_type	response	response_time	stim_id	stim_events	stim_slides	trial_id	run_id	stim_type	response_type
2.00732	n/a	n/a	n/a	n/a	80300	3	0	149	2	8	n/a
12.0054	3.5	controlItem	n/a	n/a	10317	3	17	150	2	1	n/a
15.4887	3.0	controlItem	n/a	n/a	40317	3	17	151	2	0	n/a
18.489	3.0	controlItem	True	0.632	40317	3	17	152	2	4	controlTrue
22.0046	3.5	controlItem	n/a	n/a	10313	3	13	153	2	1	n/a
25.4881	3.0	controlItem	n/a	n/a	60313	3	13	154	2	0	n/a
28.4884	3.0	controlItem	True	0.269	60313	3	13	155	2	6	controlTrue
32.0034	3.5	criticalItem	n/a	n/a	10341	3	41	156	2	1	n/a
35.4869	3.0	criticalItem	n/a	n/a	70341	3	41	157	2	0	n/a
38.4866	3.0	criticalItem	True	0.581	70341	3	41	158	2	7	criticalTrue
42.0028	3.5	controlItem	n/a	n/a	10348	3	48	159	2	1	n/a
45.4862	3.0	controlItem	n/a	n/a	30348	3	48	160	2	0	n/a
48.485	3.0	controlItem	True	0.481	30348	3	48	161	2	3	controlTrue
52.0026	3.5	criticalItem	n/a	n/a	10344	3	44	162	2	1	n/a
55.4855	3.0	criticalItem	n/a	n/a	30344	3	44	163	2	0	n/a
58.4861	3.0	criticalItem	False	1.351	30344	3	44	164	2	3	criticalFalse
62.0016	3.5	criticalItem	n/a	n/a	10305	3	5	165	2	1	n/a
65.484	3.0	criticalItem	n/a	n/a	20305	3	5	166	2	0	n/a
68.4834	3.0	criticalItem	False	0.828	20305	3	5	167	2	2	criticalFalse
72.0002	3.5	criticalItem	n/a	n/a	10330	3	30	168	2	1	n/a
75.4825	3.0	criticalItem	n/a	n/a	30330	3	30	169	2	0	n/a
78.4829	3.0	criticalItem	False	0.899	30330	3	30	170	2	3	criticalFalse
82.0001	3.5	controlItem	n/a	n/a	10325	3	25	171	2	1	n/a
85.4823	3.0	controlItem	n/a	n/a	70325	3	25	172	2	0	n/a
88.4818	3.0	controlItem	Foil2	0.546	70325	3	25	173	2	7	controlFoil2
92.0136	3.5	criticalItem	n/a	n/a	10327	3	27	174	2	1	n/a
95.4981	3.0	criticalItem	n/a	n/a	30327	3	27	175	2	0	n/a
98.4972	3.0	criticalItem	False	0.666	30327	3	27	176	2	3	criticalFalse
102.014	3.5	controlItem	n/a	n/a	10345	3	45	177	2	1	n/a
105.496	3.0	controlItem	n/a	n/a	50345	3	45	178	2	0	n/a
108.495	3.0	controlItem	True	0.262	50345	3	45	179	2	5	controlTrue
112.012	3.5	criticalItem	n/a	n/a	10319	3	19	180	2	1	n/a
115.496	3.0	criticalItem	n/a	n/a	50319	3	19	181	2	0	n/a
118.495	3.0	criticalItem	True	0.275	50319	3	19	182	2	5	criticalTrue
122.012	3.5	criticalItem	n/a	n/a	10316	3	16	183	2	1	n/a
125.494	3.0	criticalItem	n/a	n/a	60316	3	16	184	2	0	n/a
128.495	3.0	criticalItem	Foil	0.609	60316	3	16	185	2	6	criticalFoil
132.01	3.5	criticalItem	n/a	n/a	10332	3	32	186	2	1	n/a
135.494	3.0	criticalItem	n/a	n/a	20332	3	32	187	2	0	n/a
138.494	3.0	criticalItem	False	0.702	20332	3	32	188	2	2	criticalFalse
142.009	3.5	criticalItem	n/a	n/a	10336	3	36	189	2	1	n/a
145.492	3.0	criticalItem	n/a	n/a	60336	3	36	190	2	0	n/a
148.492	3.0	criticalItem	True	0.509	60336	3	36	191	2	6	criticalTrue
152.008	3.5	controlItem	n/a	n/a	10309	3	9	192	2	1	n/a
155.492	3.0	controlItem	n/a	n/a	30309	3	9	193	2	0	n/a
158.491	3.0	controlItem	Foil1	0.605	30309	3	9	194	2	3	controlFoil1
162.008	3.5	controlItem	n/a	n/a	10350	3	50	195	2	1	n/a
165.491	3.0	controlItem	n/a	n/a	30350	3	50	196	2	0	n/a
168.49	3.0	controlItem	True	0.415	30350	3	50	197	2	3	controlTrue
172.005	3.5	controlItem	n/a	n/a	10303	3	3	198	2	1	n/a
175.489	3.0	controlItem	n/a	n/a	40303	3	3	199	2	0	n/a
178.489	3.0	controlItem	Foil2	0.527	40303	3	3	200	2	4	controlFoil2
182.005	3.5	controlItem	n/a	n/a	10342	3	42	201	2	1	n/a
185.489	3.0	controlItem	n/a	n/a	40342	3	42	202	2	0	n/a
188.488	3.0	controlItem	Foil2	0.366	40342	3	42	203	2	4	controlFoil2
192.005	3.5	criticalItem	n/a	n/a	10324	3	24	204	2	1	n/a
195.488	3.0	criticalItem	n/a	n/a	30324	3	24	205	2	0	n/a
198.488	3.0	criticalItem	False	0.652	30324	3	24	206	2	3	criticalFalse
202.004	3.5	criticalItem	n/a	n/a	10347	3	47	207	2	1	n/a
205.486	3.0	criticalItem	n/a	n/a	20347	3	47	208	2	0	n/a
208.486	3.0	criticalItem	False	0.371	20347	3	47	209	2	2	criticalFalse
212.002	3.5	controlItem	n/a	n/a	10320	3	20	210	2	1	n/a
215.486	3.0	controlItem	n/a	n/a	30320	3	20	211	2	0	n/a
218.485	3.0	controlItem	True	0.692	30320	3	20	212	2	3	controlTrue
222.002	3.5	controlItem	n/a	n/a	10331	3	31	213	2	1	n/a
225.485	3.0	controlItem	n/a	n/a	60331	3	31	214	2	0	n/a
228.484	3.0	controlItem	True	0.746	60331	3	31	215	2	6	controlTrue
232	3.5	criticalItem	n/a	n/a	10322	3	22	216	2	1	n/a
235.484	3.0	criticalItem	n/a	n/a	30322	3	22	217	2	0	n/a
238.483	3.0	criticalItem	False	1.144	30322	3	22	218	2	3	criticalFalse
241.999	3.5	controlItem	n/a	n/a	10329	3	29	219	2	1	n/a
245.483	3.0	controlItem	n/a	n/a	20329	3	29	220	2	0	n/a
248.482	3.0	controlItem	True	0.293	20329	3	29	221	2	2	controlTrue
252.014	n/a	n/a	n/a	n/a	90300	3	0	222	2	9	n/a
256.014	n/a	n/a	n/a	n/a	80400	4	0	223	2	8	n/a
266.013	3.5	controlItem	n/a	n/a	10425	4	25	224	2	1	n/a
269.496	3.0	controlItem	n/a	n/a	30425	4	25	225	2	0	n/a
272.497	3.0	controlItem	True	0.335	30425	4	25	226	2	3	controlTrue
276.013	3.5	criticalItem	n/a	n/a	10436	4	36	227	2	1	n/a
279.495	3.0	criticalItem	n/a	n/a	30436	4	36	228	2	0	n/a
282.495	3.0	criticalItem	False	0.441	30436	4	36	229	2	3	criticalFalse
286.012	3.5	criticalItem	n/a	n/a	10419	4	19	230	2	1	n/a
289.495	3.0	criticalItem	n/a	n/a	40419	4	19	231	2	0	n/a
292.495	3.0	criticalItem	True	0.604	40419	4	19	232	2	4	criticalTrue
296.011	3.5	controlItem	n/a	n/a	10443	4	43	233	2	1	n/a
299.496	3.0	controlItem	n/a	n/a	60443	4	43	234	2	0	n/a
302.493	3.0	controlItem	Foil1	0.305	60443	4	43	235	2	6	controlFoil1
306.01	3.5	criticalItem	n/a	n/a	10429	4	29	236	2	1	n/a
309.493	3.0	criticalItem	n/a	n/a	30429	4	29	237	2	0	n/a
312.491	3.0	criticalItem	True	0.607	30429	4	29	238	2	3	criticalTrue
316.009	3.5	controlItem	n/a	n/a	10442	4	42	239	2	1	n/a
319.491	3.0	controlItem	n/a	n/a	40442	4	42	240	2	0	n/a
322.49	3.0	controlItem	True	0.333	40442	4	42	241	2	4	controlTrue
326.008	3.5	criticalItem	n/a	n/a	10404	4	4	242	2	1	n/a
329.491	3.0	criticalItem	n/a	n/a	60404	4	4	243	2	0	n/a
332.49	3.0	criticalItem	True	0.327	60404	4	4	244	2	6	criticalTrue
336.007	3.5	controlItem	n/a	n/a	10409	4	9	245	2	1	n/a
339.49	3.0	controlItem	n/a	n/a	70409	4	9	246	2	0	n/a
342.49	3.0	controlItem	True	0.272	70409	4	9	247	2	7	controlTrue
346.005	3.5	criticalItem	n/a	n/a	10440	4	40	248	2	1	n/a
349.488	3.0	criticalItem	n/a	n/a	50440	4	40	249	2	0	n/a
352.488	3.0	criticalItem	True	0.403	50440	4	40	250	2	5	criticalTrue
356.004	3.5	criticalItem	n/a	n/a	10407	4	7	251	2	1	n/a
359.487	3.0	criticalItem	n/a	n/a	70407	4	7	252	2	0	n/a
362.488	3.0	criticalItem	True	1.049	70407	4	7	253	2	7	criticalTrue
366.004	3.5	criticalItem	n/a	n/a	10417	4	17	254	2	1	n/a
369.486	3.0	criticalItem	n/a	n/a	20417	4	17	255	2	0	n/a
372.487	3.0	criticalItem	Foil	0.35	20417	4	17	256	2	2	criticalFoil
376.003	3.5	controlItem	n/a	n/a	10446	4	46	257	2	1	n/a
379.486	3.0	controlItem	n/a	n/a	50446	4	46	258	2	0	n/a
382.485	3.0	controlItem	True	0.64	50446	4	46	259	2	5	controlTrue
386.002	3.5	controlItem	n/a	n/a	10416	4	16	260	2	1	n/a
389.484	3.0	controlItem	n/a	n/a	50416	4	16	261	2	0	n/a
392.484	3.0	controlItem	True	0.36	50416	4	16	262	2	5	controlTrue
396	3.5	controlItem	n/a	n/a	10412	4	12	263	2	1	n/a
399.484	3.0	controlItem	n/a	n/a	40412	4	12	264	2	0	n/a
402.483	3.0	controlItem	True	0.286	40412	4	12	265	2	4	controlTrue
406.016	3.5	controlItem	n/a	n/a	10450	4	50	266	2	1	n/a
409.5	3.0	controlItem	n/a	n/a	20450	4	50	267	2	0	n/a
412.498	3.0	controlItem	True	0.635	20450	4	50	268	2	2	controlTrue
416.015	3.5	criticalItem	n/a	n/a	10438	4	38	269	2	1	n/a
419.498	3.0	criticalItem	n/a	n/a	60438	4	38	270	2	0	n/a
422.498	3.0	criticalItem	True	1.212	60438	4	38	271	2	6	criticalTrue
426.015	3.5	controlItem	n/a	n/a	10422	4	22	272	2	1	n/a
429.497	3.0	controlItem	n/a	n/a	20422	4	22	273	2	0	n/a
432.496	3.0	controlItem	Foil1	1.064	20422	4	22	274	2	2	controlFoil1
436.012	3.5	controlItem	n/a	n/a	10430	4	30	275	2	1	n/a
439.496	3.0	controlItem	n/a	n/a	40430	4	30	276	2	0	n/a
442.496	3.0	controlItem	True	1.595	40430	4	30	277	2	4	controlTrue
446.013	3.5	controlItem	n/a	n/a	10444	4	44	278	2	1	n/a
449.496	3.0	controlItem	n/a	n/a	50444	4	44	279	2	0	n/a
452.496	3.0	controlItem	True	0.901	50444	4	44	280	2	5	controlTrue
456.011	3.5	controlItem	n/a	n/a	10448	4	48	281	2	1	n/a
459.494	3.0	controlItem	n/a	n/a	30448	4	48	282	2	0	n/a
462.493	3.0	controlItem	Foil1	0.615	30448	4	48	283	2	3	controlFoil1
466.01	3.5	criticalItem	n/a	n/a	10424	4	24	284	2	1	n/a
469.493	3.0	criticalItem	n/a	n/a	50424	4	24	285	2	0	n/a
472.493	3.0	criticalItem	True	0.702	50424	4	24	286	2	5	criticalTrue
476.01	3.5	criticalItem	n/a	n/a	10449	4	49	287	2	1	n/a
479.491	3.0	criticalItem	n/a	n/a	30449	4	49	288	2	0	n/a
482.492	3.0	criticalItem	True	1.099	30449	4	49	289	2	3	criticalTrue
486.008	3.5	criticalItem	n/a	n/a	10411	4	11	290	2	1	n/a
489.491	3.0	criticalItem	n/a	n/a	50411	4	11	291	2	0	n/a
492.491	3.0	criticalItem	False	0.457	50411	4	11	292	2	5	criticalFalse
496.006	3.5	criticalItem	n/a	n/a	10415	4	15	293	2	1	n/a
499.49	3.0	criticalItem	n/a	n/a	20415	4	15	294	2	0	n/a
502.489	3.0	criticalItem	Foil	0.853	20415	4	15	295	2	2	criticalFoil
506.006	n/a	n/a	n/a	n/a	90400	4	0	296	2	9	n/a
