onset	duration	trial_type	response	response_time	stim_id	stim_events	stim_slides	trial_id	run_id	stim_type	response_type
2.00764	n/a	n/a	n/a	n/a	80300	3	0	1	1	8	n/a
12.006	3.5	controlItem	n/a	n/a	10309	3	9	2	1	1	n/a
15.4914	3.0	controlItem	n/a	n/a	40309	3	9	3	1	0	n/a
18.4905	3.0	controlItem	True	1.071	40309	3	9	4	1	4	controlTrue
22.0056	3.5	controlItem	n/a	n/a	10345	3	45	5	1	1	n/a
25.4896	3.0	controlItem	n/a	n/a	50345	3	45	6	1	0	n/a
28.4879	3.0	controlItem	True	0.78	50345	3	45	7	1	5	controlTrue
32.0058	3.5	controlItem	n/a	n/a	10350	3	50	8	1	1	n/a
35.4879	3.0	controlItem	n/a	n/a	30350	3	50	9	1	0	n/a
38.4882	3.0	controlItem	Foil2	1.572	30350	3	50	10	1	3	controlFoil2
42.0049	3.5	controlItem	n/a	n/a	10317	3	17	11	1	1	n/a
45.4878	3.0	controlItem	n/a	n/a	70317	3	17	12	1	0	n/a
48.4874	3.0	controlItem	True	1.537	70317	3	17	13	1	7	controlTrue
52.0027	3.5	criticalItem	n/a	n/a	10305	3	5	14	1	1	n/a
55.4861	3.0	criticalItem	n/a	n/a	20305	3	5	15	1	0	n/a
58.4846	3.0	criticalItem	True	1.463	20305	3	5	16	1	2	criticalTrue
62.0012	3.5	controlItem	n/a	n/a	10331	3	31	17	1	1	n/a
65.4847	3.0	controlItem	n/a	n/a	60331	3	31	18	1	0	n/a
68.4853	3.0	controlItem	True	1.123	60331	3	31	19	1	6	controlTrue
72.0017	3.5	criticalItem	n/a	n/a	10336	3	36	20	1	1	n/a
75.4837	3.0	criticalItem	n/a	n/a	20336	3	36	21	1	0	n/a
78.4845	3.0	criticalItem	False	1.679	20336	3	36	22	1	2	criticalFalse
81.9997	3.5	controlItem	n/a	n/a	10348	3	48	23	1	1	n/a
85.4839	3.0	controlItem	n/a	n/a	40348	3	48	24	1	0	n/a
