onset	duration	trial_type	response	response_time	stim_id	stim_events	stim_slides	trial_id	run_id	stim_type	response_type
2.00962	n/a	n/a	n/a	n/a	80500	5	0	297	3	8	n/a
12.0074	3.5	criticalItem	n/a	n/a	10503	5	3	298	3	1	n/a
15.4913	3.0	criticalItem	n/a	n/a	70503	5	3	299	3	0	n/a
18.4921	3.0	criticalItem	False	0.404	70503	5	3	300	3	7	criticalFalse
22.0065	3.5	criticalItem	n/a	n/a	10521	5	21	301	3	1	n/a
25.49	3.0	criticalItem	n/a	n/a	50521	5	21	302	3	0	n/a
28.4901	3.0	criticalItem	False	0.508	50521	5	21	303	3	5	criticalFalse
32.0051	3.5	controlItem	n/a	n/a	10532	5	32	304	3	1	n/a
35.4889	3.0	controlItem	n/a	n/a	60532	5	32	305	3	0	n/a
38.4893	3.0	controlItem	True	0.391	60532	5	32	306	3	6	controlTrue
42.0052	3.5	criticalItem	n/a	n/a	10523	5	23	307	3	1	n/a
45.4891	3.0	criticalItem	n/a	n/a	40523	5	23	308	3	0	n/a
48.4876	3.0	criticalItem	True	0.352	40523	5	23	309	3	4	criticalTrue
52.0045	3.5	controlItem	n/a	n/a	10522	5	22	310	3	1	n/a
55.4884	3.0	controlItem	n/a	n/a	70522	5	22	311	3	0	n/a
58.4867	3.0	controlItem	Foil1	0.53	70522	5	22	312	3	7	controlFoil1
62.0033	3.5	criticalItem	n/a	n/a	10526	5	26	313	3	1	n/a
65.4864	3.0	criticalItem	n/a	n/a	60526	5	26	314	3	0	n/a
68.4854	3.0	criticalItem	False	0.526	60526	5	26	315	3	6	criticalFalse
72.0015	3.5	criticalItem	n/a	n/a	10547	5	47	316	3	1	n/a
75.4853	3.0	criticalItem	n/a	n/a	70547	5	47	317	3	0	n/a
78.4868	3.0	criticalItem	True	1.511	70547	5	47	318	3	7	criticalTrue
82.0002	3.5	controlItem	n/a	n/a	10546	5	46	319	3	1	n/a
85.4841	3.0	controlItem	n/a	n/a	60546	5	46	320	3	0	n/a
88.4853	3.0	controlItem	True	0.565	60546	5	46	321	3	6	controlTrue
92.0005	3.5	criticalItem	n/a	n/a	10516	5	16	322	3	1	n/a
95.4834	3.0	criticalItem	n/a	n/a	40516	5	16	323	3	0	n/a
98.4829	3.0	criticalItem	False	0.842	40516	5	16	324	3	4	criticalFalse
102	3.5	controlItem	n/a	n/a	10549	5	49	325	3	1	n/a
105.482	3.0	controlItem	n/a	n/a	60549	5	49	326	3	0	n/a
108.482	3.0	controlItem	True	0.551	60549	5	49	327	3	6	controlTrue
112.014	3.5	criticalItem	n/a	n/a	10539	5	39	328	3	1	n/a
115.498	3.0	criticalItem	n/a	n/a	70539	5	39	329	3	0	n/a
118.497	3.0	criticalItem	False	0.732	70539	5	39	330	3	7	criticalFalse
122.013	3.5	criticalItem	n/a	n/a	10531	5	31	331	3	1	n/a
125.496	3.0	criticalItem	n/a	n/a	70531	5	31	332	3	0	n/a
128.496	3.0	criticalItem	True	0.509	70531	5	31	333	3	7	criticalTrue
132.013	3.5	controlItem	n/a	n/a	10525	5	25	334	3	1	n/a
135.497	3.0	controlItem	n/a	n/a	70525	5	25	335	3	0	n/a
138.496	3.0	controlItem	True	0.381	70525	5	25	336	3	7	controlTrue
142.012	3.5	criticalItem	n/a	n/a	10505	5	5	337	3	1	n/a
145.494	3.0	criticalItem	n/a	n/a	50505	5	5	338	3	0	n/a
148.495	3.0	criticalItem	True	0.588	50505	5	5	339	3	5	criticalTrue
152.011	3.5	controlItem	n/a	n/a	10542	5	42	340	3	1	n/a
155.493	3.0	controlItem	n/a	n/a	20542	5	42	341	3	0	n/a
158.494	3.0	controlItem	True	1.138	20542	5	42	342	3	2	controlTrue
162.011	3.5	controlItem	n/a	n/a	10524	5	24	343	3	1	n/a
165.493	3.0	controlItem	n/a	n/a	20524	5	24	344	3	0	n/a
168.492	3.0	controlItem	True	0.465	20524	5	24	345	3	2	controlTrue
172.009	3.5	criticalItem	n/a	n/a	10519	5	19	346	3	1	n/a
175.492	3.0	criticalItem	n/a	n/a	30519	5	19	347	3	0	n/a
178.492	3.0	criticalItem	True	0.296	30519	5	19	348	3	3	criticalTrue
182.007	3.5	criticalItem	n/a	n/a	10541	5	41	349	3	1	n/a
185.491	3.0	criticalItem	n/a	n/a	70541	5	41	350	3	0	n/a
