onset	duration	trial_type	response	response_time	stim_id	stim_events	stim_slides	trial_id	run_id	stim_type	response_type
2.00823	n/a	n/a	n/a	n/a	80100	1	0	297	3	8	n/a
12.0054	3.5	criticalItem	n/a	n/a	10131	1	31	298	3	1	n/a
15.4886	3.0	criticalItem	n/a	n/a	40131	1	31	299	3	0	n/a
18.4887	3.0	criticalItem	True	0.609	40131	1	31	300	3	4	criticalTrue
22.0057	3.5	criticalItem	n/a	n/a	10150	1	50	301	3	1	n/a
25.4891	3.0	criticalItem	n/a	n/a	60150	1	50	302	3	0	n/a
28.4874	3.0	criticalItem	False	0.592	60150	1	50	303	3	6	criticalFalse
32.0053	3.5	criticalItem	n/a	n/a	10128	1	28	304	3	1	n/a
35.4872	3.0	criticalItem	n/a	n/a	60128	1	28	305	3	0	n/a
38.4878	3.0	criticalItem	True	0.386	60128	1	28	306	3	6	criticalTrue
42.0024	3.5	criticalItem	n/a	n/a	10136	1	36	307	3	1	n/a
45.4872	3.0	criticalItem	n/a	n/a	60136	1	36	308	3	0	n/a
48.4858	3.0	criticalItem	False	0.339	60136	1	36	309	3	6	criticalFalse
52.003	3.5	criticalItem	n/a	n/a	10110	1	10	310	3	1	n/a
55.485	3.0	criticalItem	n/a	n/a	70110	1	10	311	3	0	n/a
58.4857	3.0	criticalItem	True	0.401	70110	1	10	312	3	7	criticalTrue
62.0005	3.5	criticalItem	n/a	n/a	10122	1	22	313	3	1	n/a
65.4841	3.0	criticalItem	n/a	n/a	40122	1	22	314	3	0	n/a
68.4832	3.0	criticalItem	True	0.366	40122	1	22	315	3	4	criticalTrue
71.9996	3.5	controlItem	n/a	n/a	10104	1	4	316	3	1	n/a
75.484	3.0	controlItem	n/a	n/a	50104	1	4	317	3	0	n/a
78.4828	3.0	controlItem	Foil1	0.534	50104	1	4	318	3	5	controlFoil1
82	3.5	controlItem	n/a	n/a	10116	1	16	319	3	1	n/a
85.4817	3.0	controlItem	n/a	n/a	20116	1	16	320	3	0	n/a
88.4827	3.0	controlItem	True	0.429	20116	1	16	321	3	2	controlTrue
92.0141	3.5	controlItem	n/a	n/a	10107	1	7	322	3	1	n/a
95.4987	3.0	controlItem	n/a	n/a	70107	1	7	323	3	0	n/a
98.4971	3.0	controlItem	True	0.555	70107	1	7	324	3	7	controlTrue
102.013	3.5	controlItem	n/a	n/a	10140	1	40	325	3	1	n/a
105.498	3.0	controlItem	n/a	n/a	40140	1	40	326	3	0	n/a
108.497	3.0	controlItem	Foil2	0.473	40140	1	40	327	3	4	controlFoil2
112.012	3.5	criticalItem	n/a	n/a	10114	1	14	328	3	1	n/a
115.496	3.0	criticalItem	n/a	n/a	40114	1	14	329	3	0	n/a
118.496	3.0	criticalItem	True	0.421	40114	1	14	330	3	4	criticalTrue
122.011	3.5	criticalItem	n/a	n/a	10126	1	26	331	3	1	n/a
125.495	3.0	criticalItem	n/a	n/a	30126	1	26	332	3	0	n/a
128.494	3.0	criticalItem	False	0.409	30126	1	26	333	3	3	criticalFalse
132.01	3.5	controlItem	n/a	n/a	10118	1	18	334	3	1	n/a
135.495	3.0	controlItem	n/a	n/a	60118	1	18	335	3	0	n/a
138.493	3.0	controlItem	Foil2	0.426	60118	1	18	336	3	6	controlFoil2
142.009	3.5	controlItem	n/a	n/a	10132	1	32	337	3	1	n/a
145.492	3.0	controlItem	n/a	n/a	40132	1	32	338	3	0	n/a
148.491	3.0	controlItem	Foil1	0.39	40132	1	32	339	3	4	controlFoil1
152.008	3.5	controlItem	n/a	n/a	10149	1	49	340	3	1	n/a
155.493	3.0	controlItem	n/a	n/a	20149	1	49	341	3	0	n/a
158.492	3.0	controlItem	Foil1	0.437	20149	1	49	342	3	2	controlFoil1
162.009	3.5	controlItem	n/a	n/a	10123	1	23	343	3	1	n/a
165.491	3.0	controlItem	n/a	n/a	70123	1	23	344	3	0	n/a
168.49	3.0	controlItem	True	0.365	70123	1	23	345	3	7	controlTrue
172.008	3.5	criticalItem	n/a	n/a	10119	1	19	346	3	1	n/a
175.49	3.0	criticalItem	n/a	n/a	70119	1	19	347	3	0	n/a
178.489	3.0	criticalItem	False	0.399	70119	1	19	348	3	7	criticalFalse
182.006	3.5	controlItem	n/a	n/a	10146	1	46	349	3	1	n/a
185.489	3.0	controlItem	n/a	n/a	30146	1	46	350	3	0	n/a
188.488	3.0	controlItem	Foil2	0.426	30146	1	46	351	3	3	controlFoil2
192.004	3.5	criticalItem	n/a	n/a	10117	1	17	352	3	1	n/a
195.488	3.0	criticalItem	n/a	n/a	50117	1	17	353	3	0	n/a
198.487	3.0	criticalItem	False	0.341	50117	1	17	354	3	5	criticalFalse
202.005	3.5	controlItem	n/a	n/a	10124	1	24	355	3	1	n/a
205.487	3.0	controlItem	n/a	n/a	50124	1	24	356	3	0	n/a
208.487	3.0	controlItem	True	0.322	50124	1	24	357	3	5	controlTrue
212.002	3.5	criticalItem	n/a	n/a	10141	1	41	358	3	1	n/a
215.485	3.0	criticalItem	n/a	n/a	60141	1	41	359	3	0	n/a
218.485	3.0	criticalItem	False	0.349	60141	1	41	360	3	6	criticalFalse
222.001	3.5	controlItem	n/a	n/a	10121	1	21	361	3	1	n/a
225.486	3.0	controlItem	n/a	n/a	50121	1	21	362	3	0	n/a
228.485	3.0	controlItem	Foil1	0.403	50121	1	21	363	3	5	controlFoil1
232	3.5	criticalItem	n/a	n/a	10112	1	12	364	3	1	n/a
235.484	3.0	criticalItem	n/a	n/a	30112	1	12	365	3	0	n/a
238.483	3.0	criticalItem	False	0.453	30112	1	12	366	3	3	criticalFalse
242.016	3.5	controlItem	n/a	n/a	10125	1	25	367	3	1	n/a
245.5	3.0	controlItem	n/a	n/a	40125	1	25	368	3	0	n/a
248.499	3.0	controlItem	True	0.376	40125	1	25	369	3	4	controlTrue
252.015	n/a	n/a	n/a	n/a	90100	1	0	370	3	9	n/a
256.014	n/a	n/a	n/a	n/a	80200	2	0	371	3	8	n/a
266.014	3.5	controlItem	n/a	n/a	10217	2	17	372	3	1	n/a
269.498	3.0	controlItem	n/a	n/a	20217	2	17	373	3	0	n/a
272.496	3.0	controlItem	Foil1	0.423	20217	2	17	374	3	2	controlFoil1
276.012	3.5	controlItem	n/a	n/a	10242	2	42	375	3	1	n/a
279.496	3.0	controlItem	n/a	n/a	70242	2	42	376	3	0	n/a
282.497	3.0	controlItem	Foil2	0.331	70242	2	42	377	3	7	controlFoil2
286.011	3.5	controlItem	n/a	n/a	10246	2	46	378	3	1	n/a
289.496	3.0	controlItem	n/a	n/a	40246	2	46	379	3	0	n/a
292.494	3.0	controlItem	True	0.342	40246	2	46	380	3	4	controlTrue
296.011	3.5	controlItem	n/a	n/a	10232	2	32	381	3	1	n/a
299.493	3.0	controlItem	n/a	n/a	70232	2	32	382	3	0	n/a
302.494	3.0	controlItem	Foil1	0.369	70232	2	32	383	3	7	controlFoil1
306.011	3.5	controlItem	n/a	n/a	10207	2	7	384	3	1	n/a
309.493	3.0	controlItem	n/a	n/a	40207	2	7	385	3	0	n/a
312.492	3.0	controlItem	True	0.336	40207	2	7	386	3	4	controlTrue
316.008	3.5	criticalItem	n/a	n/a	10214	2	14	387	3	1	n/a
319.493	3.0	criticalItem	n/a	n/a	60214	2	14	388	3	0	n/a
322.491	3.0	criticalItem	False	0.492	60214	2	14	389	3	6	criticalFalse
326.009	3.5	controlItem	n/a	n/a	10237	2	37	390	3	1	n/a
329.49	3.0	controlItem	n/a	n/a	50237	2	37	391	3	0	n/a
332.491	3.0	controlItem	Foil2	0.358	50237	2	37	392	3	5	controlFoil2
336.007	3.5	criticalItem	n/a	n/a	10223	2	23	393	3	1	n/a
339.49	3.0	criticalItem	n/a	n/a	30223	2	23	394	3	0	n/a
342.49	3.0	criticalItem	False	0.266	30223	2	23	395	3	3	criticalFalse
346.005	3.5	criticalItem	n/a	n/a	10225	2	25	396	3	1	n/a
349.489	3.0	criticalItem	n/a	n/a	50225	2	25	397	3	0	n/a
352.489	3.0	criticalItem	False	0.52	50225	2	25	398	3	5	criticalFalse
356.005	3.5	criticalItem	n/a	n/a	10234	2	34	399	3	1	n/a
359.488	3.0	criticalItem	n/a	n/a	20234	2	34	400	3	0	n/a
362.487	3.0	criticalItem	False	0.472	20234	2	34	401	3	2	criticalFalse
366.003	3.5	controlItem	n/a	n/a	10205	2	5	402	3	1	n/a
369.486	3.0	controlItem	n/a	n/a	60205	2	5	403	3	0	n/a
372.486	3.0	controlItem	True	0.276	60205	2	5	404	3	6	controlTrue
376.002	3.5	criticalItem	n/a	n/a	10238	2	38	405	3	1	n/a
379.486	3.0	criticalItem	n/a	n/a	20238	2	38	406	3	0	n/a
382.485	3.0	criticalItem	False	0.339	20238	2	38	407	3	2	criticalFalse
386.001	3.5	criticalItem	n/a	n/a	10228	2	28	408	3	1	n/a
389.485	3.0	criticalItem	n/a	n/a	70228	2	28	409	3	0	n/a
392.484	3.0	criticalItem	True	0.296	70228	2	28	410	3	7	criticalTrue
396	3.5	criticalItem	n/a	n/a	10241	2	41	411	3	1	n/a
399.484	3.0	criticalItem	n/a	n/a	60241	2	41	412	3	0	n/a
402.483	3.0	criticalItem	True	0.316	60241	2	41	413	3	6	criticalTrue
405.999	3.5	controlItem	n/a	n/a	10230	2	30	414	3	1	n/a
409.484	3.0	controlItem	n/a	n/a	60230	2	30	415	3	0	n/a
412.483	3.0	controlItem	True	0.291	60230	2	30	416	3	6	controlTrue
416	3.5	criticalItem	n/a	n/a	10231	2	31	417	3	1	n/a
419.482	3.0	criticalItem	n/a	n/a	40231	2	31	418	3	0	n/a
422.481	3.0	criticalItem	True	0.325	40231	2	31	419	3	4	criticalTrue
426.015	3.5	criticalItem	n/a	n/a	10219	2	19	420	3	1	n/a
429.498	3.0	criticalItem	n/a	n/a	50219	2	19	421	3	0	n/a
432.498	3.0	criticalItem	False	0.256	50219	2	19	422	3	5	criticalFalse
436.013	3.5	criticalItem	n/a	n/a	10249	2	49	423	3	1	n/a
439.496	3.0	criticalItem	n/a	n/a	30249	2	49	424	3	0	n/a
442.496	3.0	criticalItem	True	0.551	30249	2	49	425	3	3	criticalTrue
446.013	3.5	controlItem	n/a	n/a	10248	2	48	426	3	1	n/a
449.495	3.0	controlItem	n/a	n/a	60248	2	48	427	3	0	n/a
452.496	3.0	controlItem	Foil1	0.257	60248	2	48	428	3	6	controlFoil1
456.011	3.5	controlItem	n/a	n/a	10222	2	22	429	3	1	n/a
